	ORF1	ORF2
0	YAL012W	YAL012W
0	YAL012W	YML082W
0	YAL022C	YAL022C
0	YAL023C	YAL023C
0	YAL026C	YAL026C
0	YAL035W	YER005W
0	YAL038W	YOR347C
0	YAL039C	YKL087C
0	YAL044C	YAL044C
0	YAL044C	YFL018C
0	YAL044C	YMR189W
0	YAL044C	YDR019C
0	YAL054C	YAL054C
0	YAL054C	YLR153C
0	YAL060W	YAL060W
0	YAL061W	YAL061W
0	YAL062W	YOR375C
0	YAR015W	YAR015W
0	YAR035W	YAR035W
0	YAR071W	YAR071W
0	YBL011W	YBL011W
0	YBL011W	YKR067W
0	YBL013W	YBL013W
0	YBL015W	YBL015W
0	YBL030C	YMR056C
0	YBL033C	YBL033C
0	YBL039C	YJR103W
0	YBL039C	YBL039C
0	YBL042C	YBL042C
0	YBL045C	YEL024W
0	YBL064C	YCR083W
0	YBL068W	YKL181W
0	YBL076C	YBL076C
0	YBL080C	YBL080C
0	YBL091C	YLR244C
0	YBL098W	YBL098W
0	YBL099W	YPL271W
0	YBR001C	YPR026W
0	YBR002C	YMR101C
0	YBR002C	YBR002C
0	YBR003W	YBR003W
0	YBR004C	YBR004C
0	YBR006W	YBR006W
0	YBR011C	YBR011C
0	YBR018C	YBR018C
0	YBR019C	YBR019C
0	YBR020W	YBR020W
0	YBR021W	YBR021W
0	YBR022W	YBR022W
0	YBR023C	YBR023C
0	YBR026C	YBR026C
0	YBR029C	YBR029C
0	YBR034C	YBR034C
0	YBR035C	YBR035C
0	YBR036C	YPL057C
0	YBR036C	YBR036C
0	YBR036C	YBR161W
0	YBR038W	YBR023C
0	YBR039W	YPL271W
0	YBR041W	YBR041W
0	YBR042C	YBR042C
0	YBR046C	YBR046C
0	YBR068C	YCL025C
0	YBR068C	YDR508C
0	YBR068C	YKR039W
0	YBR068C	YDR046C
0	YBR068C	YBR069C
0	YBR068C	YOL020W
0	YBR069C	YBR069C
0	YBR069C	YCL025C
0	YBR069C	YKR039W
0	YBR069C	YDR046C
0	YBR069C	YOL020W
0	YBR070C	YGL047W
0	YBR084W	YBR084W
0	YBR085W	YMR056C
0	YBR092C	YBR092C
0	YBR092C	YAR071W
0	YBR093C	YAR071W
0	YBR097W	YBR128C
0	YBR097W	YBR097W
0	YBR097W	YLR240W
0	YBR097W	YPL120W
0	YBR097W	YLR360W
0	YBR110W	YBR110W
0	YBR111C	YBR111C
0	YBR115C	YGL154C
0	YBR117C	YBR117C
0	YBR121C	YBR121C
0	YBR126C	YDR074W
0	YBR126C	YML100W
0	YBR127C	YPL234C
0	YBR127C	YOR270C
0	YBR128C	YPL120W
0	YBR128C	YBR128C
0	YBR128C	YBR097W
0	YBR128C	YLR360W
0	YBR128C	YLR240W
0	YBR132C	YHL016C
0	YBR132C	YBR132C
0	YBR145W	YOL086C
0	YBR145W	YBR145W
0	YBR147W	YBR147W
0	YBR147W	YDR352W
0	YBR149W	YBR149W
0	YBR153W	YBR153W
0	YBR159W	YBR159W
0	YBR161W	YBR161W
0	YBR161W	YBR036C
0	YBR161W	YPL057C
0	YBR166C	YBR166C
0	YBR176W	YBR176W
0	YBR177C	YPL095C
0	YBR180W	YBR180W
0	YBR183W	YBR183W
0	YBR192W	YBR192W
0	YBR196C	YBR196C
0	YBR199W	YOR099W
0	YBR204C	YKR089C
0	YBR204C	YOR081C
0	YBR204C	YBR204C
0	YBR204C	YMR313C
0	YBR205W	YOR099W
0	YBR208C	YBR208C
0	YBR213W	YBR213W
0	YBR218C	YGL062W
0	YBR221C	YFL018C
0	YBR222C	YBR222C
0	YBR229C	YBR229C
0	YBR235W	YBR235W
0	YBR241C	YBR241C
0	YBR242W	YBR242W
0	YBR242W	YGL101W
0	YBR243C	YBR243C
0	YBR244W	YKL026C
0	YBR248C	YBR248C
0	YBR249C	YBR249C
0	YBR249C	YDR035W
