	src_ORF	target_ORF	Strain	Direction	reg_Type	Type
0	YIL131C	YAL001C	W303		transcription factor	high-throughput
1	YNL068C	YAL001C	S288c		transcription factor	high-throughput
2	YPL254W	YAL001C	S288c		transcription factor	high-throughput
3	YNL330C	YAL001C	S288c		transcription factor	high-throughput
4	YNL206C	YAL001C	S288c		chromatin modifier	manually curated
5	YJL127C	YAL001C	Other		chromatin modifier	high-throughput
6	YOR028C	YAL002W	S288c		transcription factor	high-throughput
7	YIL131C	YAL002W	W303		transcription factor	high-throughput
8	YNL068C	YAL002W	W303		transcription factor	high-throughput
9	YKL032C	YAL002W	S288c		transcription factor	high-throughput
10	YLR071C	YAL002W	S288c		transcription factor	high-throughput
11	YIR018W	YAL002W	S288c		transcription factor	high-throughput
12	YIL036W	YAL003W	S288c		transcription factor	high-throughput
13	YIL131C	YAL003W	W303		transcription factor	high-throughput
14	YNL068C	YAL003W	W303		transcription factor	high-throughput
15	YPL075W	YAL003W	S288c		transcription factor	high-throughput
16	YPL254W	YAL003W	S288c		transcription factor	high-throughput
17	YGL073W	YAL003W	W303		transcription factor	high-throughput
18	YGL073W	YAL003W	S288c		transcription factor	high-throughput
19	YKL032C	YAL003W	S288c		transcription factor	high-throughput
20	YDL005C	YAL003W	S288c		transcription factor	high-throughput
21	YDR253C	YAL003W	W303		transcription factor	high-throughput
22	YNL103W	YAL003W	W303		transcription factor	high-throughput
23	YMR037C	YAL003W	W303		transcription factor	high-throughput
24	YKL062W	YAL003W	W303		transcription factor	high-throughput
25	YNL216W	YAL003W	S288c		transcription factor	high-throughput
26	YBR049C	YAL003W	S288c		transcription factor	high-throughput
27	YLR176C	YAL003W	S288c		transcription factor	high-throughput
28	YLR071C	YAL003W	S288c		transcription factor	high-throughput
29	YLR403W	YAL003W	CENPK		transcription factor	high-throughput
30	YLR403W	YAL003W	S288c		transcription factor	high-throughput
31	YOL004W	YAL003W	S288c		transcription factor	high-throughput
32	YJL127C	YAL003W	S288c		transcription factor	high-throughput
33	YOL148C	YAL003W	S288c		transcription factor	high-throughput
34	YOR110W	YAL003W	S288c		transcription factor	high-throughput
35	YCR084C	YAL003W	S288c		transcription factor	high-throughput
36	YIL131C	YAL005C	W303		transcription factor	high-throughput
37	YNL068C	YAL005C	W303		transcription factor	high-throughput
38	YGL073W	YAL005C	W303		transcription factor	high-throughput
39	YGL073W	YAL005C	Other	positive	transcription factor	high-throughput
40	YDR253C	YAL005C	W303		transcription factor	high-throughput
41	YNL103W	YAL005C	W303		transcription factor	high-throughput
42	YMR037C	YAL005C	S288c		transcription factor	high-throughput
43	YMR037C	YAL005C	W303		transcription factor	high-throughput
44	YMR037C	YAL005C	CENPK	positive	transcription factor	high-throughput
45	YKL062W	YAL005C	W303		transcription factor	high-throughput
46	YKL062W	YAL005C	CENPK	positive	transcription factor	high-throughput
47	YLR071C	YAL005C	S288c		transcription factor	high-throughput
