,Protein,MissingY,R-squared,RMSE
0,A5Z2X5,2,0.18506931779547464,-59.42984932561365
1,A5Z2X5,2,0.19821262531834838,-59.91580793391455
2,A5Z2X5,2,0.21745237649826232,-59.72497083214688
3,A5Z2X5,2,0.19351288380867004,-65.13550601040737
4,A5Z2X5,2,0.19274470052250925,-64.79682946913024
0,D6VTK4,104,0.0644659832883383,-25.743000119707123
1,D6VTK4,104,0.05783100676339603,-30.154749234014602
2,D6VTK4,104,0.053202732087555105,-27.006946220597637
3,D6VTK4,104,0.06509127043265062,-34.06108842260917
4,D6VTK4,104,0.044029410459869855,-27.221513809581232
0,O13297,21,-0.0040018402164860856,-13.688704868859599
1,O13297,21,0.04816661442479675,-13.827895687118547
2,O13297,21,0.0040513560377188895,-14.249525487133464
3,O13297,21,-0.0024766717811779415,-13.945205797358547
4,O13297,21,0.016847926061091312,-14.096176849599424
0,O13516,194,-0.009082793504044506,-14.486077603326937
1,O13516,194,0.006629273788304912,-18.051519415322748
2,O13516,194,-0.027380198878138584,-15.00137763574419
3,O13516,194,0.00617423895961966,-15.431806929973646
4,O13516,194,0.012050889462446146,-14.810321042461178
0,O13563,1,-0.009503636150762551,-45.40953088723864
1,O13563,1,0.0298637972814203,-45.28201226551656
2,O13563,1,0.03966030482233174,-48.88154185034492
3,O13563,1,0.02636974768059308,-52.157606331941686
4,O13563,1,0.04630644571675868,-46.85723326512068
0,O14455,0,0.03232787158187911,-84.13915893955367
1,O14455,0,0.0369707432216958,-82.26367951195026
2,O14455,0,0.05943867805988445,-88.10462658946304
3,O14455,0,0.10290635330435094,-79.04379811473316
4,O14455,0,0.018931059979744647,-82.23103503093671
0,O14467,2,0.05326320637350246,-139.4145770923767
1,O14467,2,-0.062313782571841614,-110.1796647702862
2,O14467,2,0.09080687740998838,-140.50675135287804
3,O14467,2,-0.011743832517794539,-119.28849783902345
4,O14467,2,0.019992417375429672,-104.76287724380252
0,O43137,2,0.07704629031714949,-244.50801274686484
1,O43137,2,0.15745572018021947,-261.1622245944427
2,O43137,2,0.07903027138347407,-260.4411176956187
3,O43137,2,0.09748188437765726,-251.39558375045698
4,O43137,2,0.11063141149310296,-248.20518339470055
0,O74700,0,0.11115411460333557,-37.000583789428596
1,O74700,0,0.1712991066068279,-39.387118794802106
2,O74700,0,0.14945699261769885,-40.707976400016385
3,O74700,0,0.18812843710764804,-41.91100686603329
4,O74700,0,0.1719211862441461,-37.389381113015155
0,P00044,1125,-0.002986218737630608,-21.956084437689743
1,P00044,1125,0.011593157922087705,-21.512722037032304
2,P00044,1125,-0.017750018990102756,-21.637591513712106
3,P00044,1125,0.05202574773809543,-24.319731274051055
4,P00044,1125,0.028929854880496375,-22.139285834149725
0,P00128,80,0.31465299801889157,-70.49188510618451
1,P00128,80,0.2194832561061173,-76.3027882286706
2,P00128,80,0.2650161235916234,-79.11437798909886
3,P00128,80,0.2763711732509473,-86.72442174487288
4,P00128,80,0.3099370501630272,-74.15703466895617
0,P00175,1881,0.004049796903514924,-19.18299159000316
1,P00175,1881,0.026318512633563773,-21.953877435988417
2,P00175,1881,0.04266129601478519,-18.95053927753315
3,P00175,1881,0.07011393555308465,-23.76874160822731
4,P00175,1881,-0.029397872753451182,-21.221835081776593
0,P00330,0,0.20604106917085574,-6508.25963446199
1,P00330,0,0.20570485572373665,-5926.160648075397
2,P00330,0,0.2128746963162811,-7033.5703594886945
3,P00330,0,0.20902697061528464,-6259.153897998282
4,P00330,0,0.16525001141884932,-6378.778049552569
0,P00358,0,0.168890550275401,-1518.65595166798
1,P00358,0,0.15818087666895952,-1509.6872625788928
2,P00358,0,0.22103884129696738,-1538.084785830468
3,P00358,0,0.13526706690953483,-1593.185791795495
4,P00358,0,0.21802966094340592,-1474.7179438037479
0,P00359,1,0.10261198585379239,-538.6813463143342
1,P00359,1,0.06593263540230743,-515.1813614916016
2,P00359,1,0.11702531565680385,-513.718682474402
3,P00359,1,0.08223413538087854,-558.3999469283992
4,P00359,1,0.09652550934808923,-501.38068659601663
0,P00360,0,0.20421230595441986,-8163.791069973012
1,P00360,0,0.21511054673785857,-7987.969536604828
2,P00360,0,0.2090681081767216,-8757.942740888277
3,P00360,0,0.13203980953085315,-8711.160142193872
4,P00360,0,0.25176799380852843,-8559.533035083197
0,P00401,1345,-0.006537519085193955,-23.24360703244809
1,P00401,1345,0.0027752392794357927,-24.974025258821015
2,P00401,1345,-0.03205887139488395,-24.18819893296092
3,P00401,1345,0.0005752084111839695,-25.006225580158098
4,P00401,1345,-0.028264586734704,-24.324111533131855
0,P00410,142,0.16175897585123544,-71.3145537006417
1,P00410,142,0.08475909532205206,-75.8736114943864
2,P00410,142,0.1477637294315569,-78.08296529540499
3,P00410,142,0.04530779646812144,-72.45457453170035
4,P00410,142,0.12490919271543699,-72.55366462637002
0,P00425,32,0.23523224839262213,-25.584486680363256
1,P00425,32,0.2063903108394156,-26.240095826291547
2,P00425,32,0.18935731208432383,-25.550419361473985
3,P00425,32,0.2217724734168376,-25.310128502784856
4,P00425,32,0.2199771078803342,-23.63866744111105
0,P00427,0,0.2158646483175346,-37.09630259408592
1,P00427,0,0.23596889398724097,-39.41796157707989
2,P00427,0,0.20274608570083053,-42.20297345338685
3,P00427,0,0.1639691093147312,-51.46327503434749
4,P00427,0,0.19868862618109273,-42.03125892013283
0,P00431,1,0.24307406031802692,-52.9401301790215
1,P00431,1,0.16927058139175077,-54.385998655417346
2,P00431,1,0.19387953042477002,-62.63951316385524
3,P00431,1,0.22013792157569434,-63.42020691323354
4,P00431,1,0.26183431038564997,-54.70565510108191
0,P00445,0,0.13714448750442865,-3021.530429295952
1,P00445,0,0.09290533821674496,-3248.1211799114335
2,P00445,0,0.10480316022562464,-3292.146961480501
3,P00445,0,0.05834021631072461,-3016.1914375483743
4,P00445,0,0.09962532879447794,-3179.620913452381
0,P00447,9,0.012881348465108688,-40.91729053435814
1,P00447,9,0.11056640193033573,-39.00678199148171
2,P00447,9,0.010835655243265574,-44.688440268197695
3,P00447,9,0.07807927222722111,-51.637122088021385
4,P00447,9,0.08613161093788713,-43.91933877822482
0,P00498,0,0.3514553047263759,-143.77478932284572
1,P00498,0,0.3249799543433831,-195.1094369223104
2,P00498,0,0.31588755500468735,-184.72440103647804
3,P00498,0,0.31424983079495616,-189.79497555791147
4,P00498,0,0.4029735571303861,-151.57047246109374
0,P00546,0,0.022635965207579156,-32.73533178335111
1,P00546,0,0.03621684615245324,-30.286286238345433
2,P00546,0,0.09308780313722309,-41.07392483175819
3,P00546,0,0.08979235818042663,-28.98440097335052
4,P00546,0,-0.6720009341995958,-38.35585989940118
0,P00549,0,0.09411592459394003,-4265.863734554319
1,P00549,0,0.03322102816487005,-3878.274676665158
2,P00549,0,0.07174770319931245,-3984.435068383456
3,P00549,0,0.10398715760328481,-4064.9919771129557
4,P00549,0,0.05011121234668192,-4402.483438538619
0,P00560,0,0.11706254436255858,-7251.7887710400255
1,P00560,0,0.07360078348758214,-8367.586811564763
2,P00560,0,0.1245328439975989,-7539.0696071351385
3,P00560,0,0.08024277426427617,-7716.371820250416
4,P00560,0,0.06353947408855987,-7423.561463736001
0,P00572,1228,0.033943954227027784,-24.872326894072536
1,P00572,1228,0.003227288738872125,-28.536674100813766
2,P00572,1228,-0.03453009754956571,-24.61516109013763
3,P00572,1228,-0.013183175796515956,-25.28388322330557
4,P00572,1228,-0.018052982700000664,-25.507654130058203
0,P00724,4,0.13637243108846864,-66.95451983561762
1,P00724,4,0.13843172036014917,-56.07421598146702
2,P00724,4,0.09473267797012896,-61.29866477065057
3,P00724,4,0.1517235619025039,-59.38945749585827
4,P00724,4,0.140820091971964,-65.2093004440367
0,P00729,1,0.10239201983022461,-128.4877635352997
1,P00729,1,0.12945231506052768,-115.45322207049833
2,P00729,1,0.07076318518007285,-115.50328889621824
3,P00729,1,0.07803317659158904,-113.25856465117353
4,P00729,1,0.10675538308479093,-104.26025193066157
0,P00815,0,0.42185514366467813,-210.40715964369736
1,P00815,0,0.4889523493940401,-266.3743409367458
2,P00815,0,0.42577683922891296,-268.08815293864455
3,P00815,0,0.2565507204328359,-328.5299461218852
4,P00815,0,0.3546669921762756,-299.7184925876253
0,P00817,0,0.060926244802509966,-958.3861297980086
1,P00817,0,0.010736331717541958,-923.085277737085
2,P00817,0,0.025009284762921413,-1077.4527084059578
3,P00817,0,-0.004462402788177444,-929.5572796370959
4,P00817,0,0.02227051693352544,-951.1464918616273
0,P00830,0,0.25102468663158706,-379.4453968641502
1,P00830,0,0.25045941406583216,-408.0539651611338
2,P00830,0,0.23251279227498434,-426.5161045810237
3,P00830,0,0.17752453597752116,-446.7735818529346
4,P00830,0,0.22923012712846325,-422.7979926395155
0,P00890,0,0.11935197650975149,-160.18254628722315
1,P00890,0,0.19217573793313036,-152.29543597519748
2,P00890,0,0.20185838280939683,-154.57729232633437
3,P00890,0,0.12863487031764276,-172.7600723631353
4,P00890,0,0.19827780247572868,-167.07639192644504
0,P00899,0,0.4138472211168611,-55.166617864562234
1,P00899,0,0.4458126862830034,-59.39368451197249
2,P00899,0,0.40246478557108,-74.08126632219559
3,P00899,0,0.10576505077138931,-82.54844486754008
4,P00899,0,0.31032372261061403,-58.06538763063381
0,P00912,13,0.11512659047207885,-22.163863375638105
1,P00912,13,0.0630819324920987,-22.3059496554827
2,P00912,13,0.04554355158707912,-20.440523089830183
3,P00912,13,0.0690040901187221,-23.17968152170697
4,P00912,13,0.018384355833872545,-22.7755974299824
0,P00924,0,0.1330732609295091,-3064.898222948206
1,P00924,0,0.1408869529716935,-3029.7133072502306
2,P00924,0,0.1590004845785019,-3359.7230484862657
3,P00924,0,0.025648582842957235,-3249.613393157747
4,P00924,0,0.129683573780364,-3372.00671052032
0,P00925,0,0.24959056146613234,-5315.180025433627
1,P00925,0,0.1842355053943069,-6209.6531085763745
2,P00925,0,0.23791601274732566,-5863.670341740843
3,P00925,0,0.19191642535572162,-6206.549840726537
4,P00925,0,0.23919976384977715,-5804.935982813882
0,P00927,0,0.3593606435655643,-49.461948408760136
1,P00927,0,0.3658817066476675,-57.28534896708971
2,P00927,0,0.30639599110302407,-55.488840300374484
3,P00927,0,0.26845839815024575,-55.4896746477729
4,P00927,0,0.2806909243363841,-52.13072479153801
