,Protein,MissingY,R-squared,RMSE
0,A5Z2X5,2,0.19067639391905833,-59.22504487745887
1,A5Z2X5,2,0.21607924324707062,-59.244480444155336
2,A5Z2X5,2,0.2301521541436583,-59.23835736143843
3,A5Z2X5,2,0.21160473160438986,-64.40077282263212
4,A5Z2X5,2,0.22205620080488175,-63.60956352910952
0,D6VTK4,104,0.07371518497082086,-25.615429328493942
1,D6VTK4,104,0.06156017325740237,-30.095012830450873
2,D6VTK4,104,0.04021581178502143,-27.191538271765545
3,D6VTK4,104,0.07818839556442592,-33.82166626089614
4,D6VTK4,104,-0.02501351795899609,-28.187386063682986
0,O13297,21,-0.014658018758379798,-13.761157061881898
1,O13297,21,0.04994748910061353,-13.814953674856342
2,O13297,21,-0.0038909387468724077,-14.306229815489145
3,O13297,21,-0.005304551626574394,-13.964860915496805
4,O13297,21,-0.023033976481880325,-14.37924285338361
0,O13516,194,-0.6028510624877632,-18.257192375642212
1,O13516,194,0.008596814819116672,-18.03363348988322
2,O13516,194,-0.044414671324192856,-15.125231491648789
3,O13516,194,-0.19332833822641993,-16.909923122921263
4,O13516,194,0.006068272542451125,-14.855095992295473
0,O13563,1,-0.006747338135851155,-45.34749656347048
1,O13563,1,0.03779833110237352,-45.096456196876616
2,O13563,1,0.04457025376206436,-48.75642287771027
3,O13563,1,0.013603911615207798,-52.49842724569761
4,O13563,1,0.043072983801324516,-46.936599887997936
0,O14455,0,0.05361293692182312,-83.20864459667364
1,O14455,0,0.03800112642011677,-82.2196591472499
2,O14455,0,0.08853167574816934,-86.73131823593039
3,O14455,0,0.07210030382923838,-80.38951824270023
4,O14455,0,0.03014770590663296,-81.75960642339476
0,O14467,2,0.05079679421033023,-139.59605844634987
1,O14467,2,-0.11362575653643936,-112.809239670383
2,O14467,2,0.016645081095783,-146.12491411270602
3,O14467,2,-0.08186415866980523,-123.3529821813051
4,O14467,2,0.016107790936707556,-104.97030530769602
0,O43137,2,0.07811385485666589,-244.36656274420142
1,O43137,2,0.1910169172203,-255.90791121463477
2,O43137,2,0.10445129800227348,-256.8215584605905
3,O43137,2,0.07901716879397369,-253.95422781424162
4,O43137,2,0.11173210862216387,-248.0515444437267
0,O74700,0,0.1740662666405699,-35.66711198126435
1,O74700,0,0.21674629346728758,-38.29186673247565
2,O74700,0,0.16245307217977878,-40.39577548913203
3,O74700,0,0.1846181484247187,-42.00151443970144
4,O74700,0,0.23330200018201097,-35.976971734706055
0,P00044,1125,0.0115372964445154,-21.796539710358463
1,P00044,1125,-0.04625555195304876,-22.13331077720066
2,P00044,1125,0.06479417771596141,-20.741585882477704
3,P00044,1125,0.046040889029586474,-24.396379532973516
4,P00044,1125,0.009199719002197293,-22.36306709427198
0,P00128,80,0.35715086127135875,-68.27133562339208
1,P00128,80,0.28134686905417705,-73.2164987762062
2,P00128,80,0.3044864994430325,-76.96075050613317
3,P00128,80,0.28897376513838324,-85.96591613057525
4,P00128,80,0.37246759512968053,-70.71736639763792
0,P00175,1881,0.036855883442096116,-18.864407191422778
1,P00175,1881,0.044744715212135855,-21.74515478587902
2,P00175,1881,0.04343718331940216,-18.94285836839211
3,P00175,1881,0.057396578154676026,-23.93072332914159
4,P00175,1881,0.022185057280103893,-20.68329074604143
0,P00330,0,0.2854518190118783,-6174.213028357009
1,P00330,0,0.19490011423748543,-5966.331075755586
2,P00330,0,0.2662020781870703,-6791.13146904484
3,P00330,0,0.2541779235679996,-6077.884035370222
4,P00330,0,0.2179917533271145,-6173.976138344624
0,P00358,0,0.18487260298205987,-1503.9833609012164
1,P00358,0,0.15728633396377334,-1510.489169494331
2,P00358,0,0.23218679180886326,-1527.0391239252517
3,P00358,0,0.13955189443058658,-1589.2337023173893
4,P00358,0,0.15689118170520377,-1531.283632226526
0,P00359,1,0.0973359540383879,-540.2625657577946
