,Protein,MissingY,R-squared,RMSE
0,A5Z2X5,5,0.11052719236280939,-63.689158470150346
1,A5Z2X5,5,0.10585765832446548,-68.02027371165714
2,A5Z2X5,5,0.08845744920585519,-64.50732174923213
3,A5Z2X5,5,0.0790644197938678,-65.97726714024935
4,A5Z2X5,5,0.1275908296255872,-72.32466535390395
0,D6VTK4,122,-0.01585930650387346,-29.45363796399557
1,D6VTK4,122,0.04215746621191874,-29.973281043232763
2,D6VTK4,122,-0.05835895705878924,-28.487011667675745
3,D6VTK4,122,0.04544012582215884,-27.16660720402628
4,D6VTK4,122,-0.00516081022524606,-33.130013120794644
0,O13297,33,-0.02950777937479021,-14.901046142549962
1,O13297,33,-0.051992584952713194,-14.961200339018461
2,O13297,33,-0.028885935705077026,-14.407103405204316
3,O13297,33,-0.01382036006730103,-14.293211745349694
4,O13297,33,-0.04888681968388475,-13.508464092350746
0,O13516,214,-0.09463148847752345,-15.526802862388656
1,O13516,214,-0.026527708164720387,-18.479958483008264
2,O13516,214,-0.09769317519415677,-14.365541145589567
3,O13516,214,-0.018715359663134645,-15.285636293946409
4,O13516,214,-0.1822460995628543,-17.406323306096127
0,O13563,1,-0.19416768085076774,-52.75395005010309
1,O13563,1,0.007812572395674122,-54.35008688218388
2,O13563,1,-0.030037751791758716,-47.9116448151076
3,O13563,1,0.04347248269596793,-58.380468904184156
4,O13563,1,-0.004918328474431188,-50.84051315041542
0,O14455,0,0.023558056824305673,-92.09924881355107
1,O14455,0,0.04305456376359029,-86.17419783938396
2,O14455,0,0.02676249768490957,-96.3866557851326
3,O14455,0,0.07568599784635621,-89.24874067173295
4,O14455,0,0.03290069342399771,-82.07838635415379
0,O14467,2,-0.26271135014099545,-129.62469763604543
1,O14467,2,-0.048138684618453054,-128.68777920832812
2,O14467,2,-0.0638119563635724,-187.17047404680065
3,O14467,2,-0.4260708190983167,-137.03757544206613
4,O14467,2,-0.0016654301590728338,-128.9414298230808
0,O43137,2,0.029676486361534082,-276.80602283033653
1,O43137,2,0.014295420229180511,-263.45819550780004
2,O43137,2,0.0369225464178059,-253.47329616501622
3,O43137,2,0.022947852787163936,-288.7461970808455
4,O43137,2,0.0333313332688181,-284.1061170577038
0,O74700,0,0.1257823584610146,-39.8303621177411
1,O74700,0,0.11820771941131114,-39.1347923488182
2,O74700,0,0.15746344371212473,-43.62560636929443
3,O74700,0,0.1573535396800767,-40.60521224182511
4,O74700,0,0.1101745797972693,-40.89293253614925
0,P00044,1182,0.015280883244531696,-23.334552728157263
1,P00044,1182,-0.035563831931075596,-22.089404157086445
2,P00044,1182,-0.007045460219948341,-22.36832692163529
3,P00044,1182,-0.020891076713040357,-22.121652228812017
4,P00044,1182,-8.64274309926305e-05,-24.072972803311544
0,P00128,89,0.16953151823938917,-81.04083351010058
1,P00128,89,0.14788504614066877,-87.11381394649491
2,P00128,89,0.15252430748441237,-86.21875706909414
3,P00128,89,0.11782329541254255,-86.2104243067566
