Feature	weight	gain	cover	total_gain	total_cover
ilp1	20.0	1426.5513916015625	3.3499999046325684	28531.02734375	67.0
ilp5	8.0	4764.8623046875	1510.75	38118.8984375	12086.0
ilp14	18.0	1235.7037353515625	432.0	22242.66796875	7776.0
ilp15	8.0	6319.8828125	6.75	50559.0625	54.0
ilp20	20.0	16413.08203125	11.699999809265137	328261.625	234.0
ilp21	5.0	9751.8359375	31.0	48759.1796875	155.0
ilp22	1.0	818.0075073242188	6.0	818.0075073242188	6.0
ilp23	9.0	2248.806396484375	10.88888931274414	20239.2578125	98.0
ilp24	10.0	3916.37841796875	4.5	39163.78515625	45.0
ilp25	3.0	2214.810791015625	22.66666603088379	6644.43212890625	68.0
ilp26	11.0	4515.8193359375	8.454545021057129	49674.01171875	93.0
ilp27	5.0	6200.20947265625	17.200000762939453	31001.046875	86.0
ilp28	32.0	29043.30078125	31.5625	929385.625	1010.0
ilp29	4.0	1829.4520263671875	24.25	7317.80810546875	97.0
ilp30	19.0	28962.048828125	12.473684310913086	550278.9375	237.0
ilp31	4.0	7156.66162109375	13.5	28626.646484375	54.0
ilp32	9.0	12740.46875	26.33333396911621	114664.21875	237.0
ilp33	1.0	1797.345703125	5.0	1797.345703125	5.0
ilp34	2.0	3393.672607421875	22.5	6787.34521484375	45.0
ilp35	3.0	1722.07568359375	11.0	5166.22705078125	33.0
ilp36	4.0	5656.3134765625	11.5	22625.25390625	46.0
ilp39	2.0	5745.91259765625	9.0	11491.8251953125	18.0
ilp40	4.0	5270.76416015625	2915.0	21083.056640625	11660.0
ilp42	2.0	2016.6727294921875	18.5	4033.345458984375	37.0
ilp43	2.0	4522.052734375	13.0	9044.10546875	26.0
ilp44	1.0	373.6030578613281	4.0	373.6030578613281	4.0
ilp46	10.0	2503.152587890625	12.199999809265137	25031.525390625	122.0
ilp47	6.0	1599.4525146484375	14.5	9596.71484375	87.0
ilp48	4.0	2692.888671875	22.0	10771.5546875	88.0
ilp49	1.0	2201.265625	23.0	2201.265625	23.0
ilp50	10.0	2542.205322265625	10.199999809265137	25422.052734375	102.0
ilp51	7.0	32157.267578125	1649.2857666015625	225100.875	11545.0
ilp52	5.0	2492.4853515625	27.399999618530273	12462.4267578125	137.0
ilp53	5.0	2340.806396484375	776.7999877929688	11704.0322265625	3884.0
ilp54	11.0	12299.296875	2141.818115234375	135292.265625	23560.0
ilp55	2.0	4263.14501953125	94.5	8526.2900390625	189.0
ilp56	2.0	4403.5771484375	80.5	8807.154296875	161.0
ilp57	3.0	2182.374267578125	30.66666603088379	6547.123046875	92.0
ilp58	7.0	6694.29638671875	25.285715103149414	46860.07421875	177.0
ilp59	4.0	4362.9794921875	10.5	17451.91796875	42.0
ilp60	2.0	2145.272216796875	20.5	4290.54443359375	41.0
ilp61	5.0	5294.26123046875	12.0	26471.306640625	60.0
ilp62	3.0	2423.142333984375	13.333333015441895	7269.42724609375	40.0
ilp63	6.0	5819.701171875	10.333333015441895	34918.20703125	62.0
ilp66	1.0	3205.723388671875	20.0	3205.723388671875	20.0
ilp67	3.0	10716.1396484375	1298.0	32148.41796875	3894.0
ilp70	1.0	7239.7099609375	27.0	7239.7099609375	27.0
ilp71	9.0	2997.242919921875	57.44444274902344	26975.185546875	517.0
ilp72	1.0	7564.96240234375	85.0	7564.96240234375	85.0
ilp74	32.0	13371.193359375	3188.15625	427878.1875	102021.0
ilp77	1.0	6508.1533203125	3802.0	6508.1533203125	3802.0
ilp78	5.0	2931.77001953125	14.800000190734863	14658.8505859375	74.0
ilp81	1.0	1137.39599609375	9.0	1137.39599609375	9.0
ilp87	1.0	4352.1083984375	161.0	4352.1083984375	161.0
