Feature	weight	gain	cover	total_gain	total_cover
ilp1	34.0	2779.38720703125	3.2352941036224365	94499.1640625	110.0
ilp5	3.0	1284.7142333984375	5.666666507720947	3854.142822265625	17.0
ilp14	8.0	6617.96484375	11.375	52943.71875	91.0
ilp15	13.0	59556.04296875	15.84615421295166	774228.5625	206.0
ilp20	19.0	6366.41455078125	4.0	120961.875	76.0
ilp21	6.0	2007.7894287109375	4.166666507720947	12046.736328125	25.0
ilp22	4.0	13222.498046875	16.75	52889.9921875	67.0
ilp23	10.0	8271.98828125	780.2000122070312	82719.8828125	7802.0
ilp24	15.0	5151.13623046875	4.5333333015441895	77267.046875	68.0
ilp25	7.0	8360.87890625	17.0	58526.15234375	119.0
ilp26	11.0	28261.935546875	74.63636016845703	310881.28125	821.0
ilp27	17.0	18591.8359375	81.11764526367188	316061.21875	1379.0
ilp28	11.0	10064.82421875	26.363636016845703	110713.0625	290.0
ilp29	7.0	5072.83154296875	567.1428833007812	35509.8203125	3970.0
ilp30	5.0	8381.443359375	1596.4000244140625	41907.21875	7982.0
ilp31	18.0	7140.10791015625	7.277777671813965	128521.9453125	131.0
ilp32	7.0	10699.373046875	10.142857551574707	74895.609375	71.0
ilp33	13.0	4933.8681640625	5.615384578704834	64140.2890625	73.0
ilp34	9.0	9699.9326171875	6.222222328186035	87299.390625	56.0
ilp35	8.0	14639.14453125	23.375	117113.15625	187.0
ilp36	2.0	14887.9736328125	30.5	29775.947265625	61.0
ilp37	1.0	9556.40625	11.0	9556.40625	11.0
ilp38	3.0	8895.7890625	1284.3333740234375	26687.3671875	3853.0
ilp39	6.0	11807.0849609375	15.166666984558105	70842.5078125	91.0
ilp40	1.0	12943.75	34.0	12943.75	34.0
ilp43	2.0	589.413330078125	6.0	1178.82666015625	12.0
ilp44	2.0	13799.6005859375	21.0	27599.201171875	42.0
ilp46	4.0	6410.17236328125	6.5	25640.689453125	26.0
ilp47	2.0	5484.16455078125	8.0	10968.3291015625	16.0
ilp48	4.0	12402.1640625	6.75	49608.65625	27.0
ilp49	2.0	1860.1229248046875	11.5	3720.245849609375	23.0
ilp50	4.0	58795.33203125	2725.5	235181.328125	10902.0
ilp51	1.0	54132.0	3477.0	54132.0	3477.0
ilp52	1.0	13862.30859375	14.0	13862.30859375	14.0
