Feature	weight	gain	cover	total_gain	total_cover
ilp1	19.0	304462.0625	3.5789473056793213	5784779.0	68.0
ilp3	1.0	120513.640625	30.0	120513.640625	30.0
ilp5	4.0	1334705.0	12.75	5338820.0	51.0
ilp7	1.0	661855.0	2697.0	661855.0	2697.0
ilp14	14.0	402558.46875	8.428571701049805	5635818.5	118.0
ilp15	10.0	1197400.625	6.0	11974006.0	60.0
ilp20	30.0	493039.96875	11.199999809265137	14791199.0	336.0
ilp21	13.0	572194.0625	11.615385055541992	7438523.0	151.0
ilp22	6.0	552950.625	8.0	3317703.75	48.0
ilp23	14.0	1133143.125	125.21428680419922	15864004.0	1753.0
ilp24	4.0	842021.1875	5.75	3368084.75	23.0
ilp26	14.0	302335.34375	575.5714111328125	4232695.0	8058.0
ilp27	6.0	1290598.875	11.833333015441895	7743593.5	71.0
ilp28	22.0	1454507.5	11.590909004211426	31999166.0	255.0
ilp29	9.0	545091.8125	876.5555419921875	4905826.5	7889.0
ilp30	15.0	413885.46875	11.733333587646484	6208282.0	176.0
ilp31	2.0	332348.5625	9.0	664697.125	18.0
ilp32	3.0	114052.7109375	16.66666603088379	342158.125	50.0
ilp33	5.0	836761.5	10.0	4183807.5	50.0
ilp34	3.0	120973.4453125	19.66666603088379	362920.34375	59.0
ilp35	6.0	215112.296875	25.16666603088379	1290673.75	151.0
ilp36	1.0	1603175.75	94.0	1603175.75	94.0
ilp37	14.0	2815546.5	2502.78564453125	39417652.0	35039.0
ilp40	4.0	1035974.125	207.0	4143896.5	828.0
ilp42	4.0	348295.0625	309.5	1393180.25	1238.0
ilp43	3.0	297506.0625	22.66666603088379	892518.1875	68.0
ilp44	1.0	7887.390625	8.0	7887.390625	8.0
ilp46	10.0	710824.875	24.899999618530273	7108249.0	249.0
ilp47	4.0	367421.25	21.75	1469685.0	87.0
ilp48	4.0	92844.4453125	15.5	371377.78125	62.0
ilp49	3.0	1762734.5	6.333333492279053	5288203.5	19.0
ilp50	8.0	662460.8125	347.25	5299686.5	2778.0
ilp51	2.0	351690.25	50.5	703380.5	101.0
ilp52	6.0	233064.265625	9.166666984558105	1398385.625	55.0
ilp53	2.0	2055245.5	4.5	4110491.0	9.0
ilp54	2.0	534075.4375	28.0	1068150.875	56.0
ilp55	3.0	1862776.0	4.666666507720947	5588328.0	14.0
ilp56	1.0	44094.33984375	6.0	44094.33984375	6.0
ilp57	3.0	113733.375	7.0	341200.125	21.0
ilp59	8.0	567374.3125	28.875	4538994.5	231.0
ilp60	3.0	1973552.875	9.0	5920658.5	27.0
ilp61	10.0	426360.65625	13.600000381469727	4263606.5	136.0
ilp63	2.0	199165.984375	9.0	398331.96875	18.0
ilp66	3.0	1959864.0	63.0	5879592.0	189.0
ilp70	1.0	5673252.0	5.0	5673252.0	5.0
ilp71	8.0	2173905.75	1150.75	17391246.0	9206.0
ilp73	1.0	2663408.0	2712.0	2663408.0	2712.0
ilp74	1.0	416894.8125	2675.0	416894.8125	2675.0
ilp78	1.0	691281.75	15.0	691281.75	15.0
ilp84	7.0	666207.875	2579.28564453125	4663455.0	18055.0
ilp89	1.0	2762764.0	5.0	2762764.0	5.0
ilp90	20.0	1342153.25	7.900000095367432	26843064.0	158.0
ilp91	5.0	76983.671875	13.399999618530273	384918.375	67.0
ilp93	1.0	607611.0625	1874.0	607611.0625	1874.0
ilp94	1.0	309769.71875	18.0	309769.71875	18.0
ilp96	1.0	402097.59375	2492.0	402097.59375	2492.0
ilp100	1.0	410893.8125	99.0	410893.8125	99.0
ilp103	2.0	2144820.0	2660.0	4289640.0	5320.0
ilp119	1.0	1938656.0	2612.0	1938656.0	2612.0
ilp126	2.0	1729536.0	1821.0	3459072.0	3642.0
ilp127	3.0	192640.203125	1822.6666259765625	577920.625	5468.0
ilp132	1.0	1939492.5	27.0	1939492.5	27.0
ilp136	1.0	681653.5	1865.0	681653.5	1865.0
ilp137	12.0	1347243.25	1853.6666259765625	16166919.0	22244.0
ilp140	15.0	935499.875	2461.7333984375	14032498.0	36926.0
ilp144	1.0	820497.875	1862.0	820497.875	1862.0
ilp160	3.0	91747.8828125	6.333333492279053	275243.65625	19.0
ilp161	19.0	744818.1875	24.578947067260742	14151546.0	467.0
ilp162	2.0	692976.75	11.5	1385953.5	23.0
ilp163	3.0	212496.375	8.666666984558105	637489.125	26.0
ilp164	2.0	3184651.0	27.5	6369302.0	55.0
ilp165	5.0	1205292.25	78.80000305175781	6026461.0	394.0
ilp166	6.0	1255526.625	6.833333492279053	7533160.0	41.0
ilp167	4.0	591543.0625	11.25	2366172.25	45.0
ilp168	9.0	338618.875	58.22222137451172	3047570.0	524.0
ilp169	4.0	356280.40625	41.25	1425121.625	165.0
ilp170	4.0	1204824.125	679.75	4819296.5	2719.0
ilp171	8.0	882254.25	12.25	7058034.0	98.0
ilp172	5.0	1110504.75	29.799999237060547	5552524.0	149.0
ilp174	13.0	2031211.75	742.0	26405752.0	9646.0
ilp175	2.0	437845.625	27.0	875691.25	54.0
ilp176	9.0	212178.734375	18.55555534362793	1909608.625	167.0
ilp177	7.0	469418.5	167.0	3285929.5	1169.0
ilp178	6.0	1058137.125	158.3333282470703	6348823.0	950.0
