Feature	weight	gain	cover	total_gain	total_cover
ilp1	27.0	124010.796875	3.0370371341705322	3348291.5	82.0
ilp4	4.0	118293.265625	981.25	473173.0625	3925.0
ilp5	1.0	102708.875	2.0	102708.875	2.0
ilp14	15.0	129937.8828125	4.266666889190674	1949068.25	64.0
ilp15	14.0	294363.59375	14.214285850524902	4121090.25	199.0
ilp20	16.0	64773.2578125	8.4375	1036372.125	135.0
ilp21	12.0	102956.5078125	330.0833435058594	1235478.125	3961.0
ilp22	3.0	166563.4375	21.33333396911621	499690.3125	64.0
ilp23	10.0	156953.734375	1016.0999755859375	1569537.375	10161.0
ilp24	12.0	151038.578125	13.333333015441895	1812463.0	160.0
ilp25	9.0	556103.875	67.77777862548828	5004935.0	610.0
ilp26	10.0	74987.3359375	10.0	749873.375	100.0
ilp27	8.0	50646.484375	7.625	405171.875	61.0
ilp28	10.0	164319.5	13.0	1643195.0	130.0
ilp29	6.0	194339.296875	134.1666717529297	1166035.75	805.0
ilp30	7.0	204203.921875	7.857142925262451	1429427.5	55.0
ilp31	8.0	145455.15625	11.125	1163641.25	89.0
ilp32	5.0	309891.5	8.800000190734863	1549457.5	44.0
ilp33	7.0	284173.75	17.714284896850586	1989216.25	124.0
ilp34	3.0	49718.11328125	9.333333015441895	149154.34375	28.0
ilp35	4.0	68766.5234375	9.0	275066.09375	36.0
ilp36	2.0	84078.9453125	5.0	168157.890625	10.0
ilp37	5.0	788262.375	3871.0	3941312.0	19355.0
ilp39	3.0	174551.0	31.0	523653.0	93.0
ilp43	4.0	235610.8125	33.0	942443.25	132.0
ilp44	4.0	134566.59375	20.25	538266.375	81.0
ilp46	7.0	107455.5078125	8.714285850524902	752188.5625	61.0
ilp47	4.0	162592.390625	7.5	650369.5625	30.0
ilp48	6.0	205921.0625	8.0	1235526.375	48.0
ilp49	1.0	135215.9375	50.0	135215.9375	50.0
ilp50	8.0	79168.65625	9.75	633349.25	78.0
ilp51	6.0	212749.8125	20.5	1276498.875	123.0
ilp52	8.0	226528.0	8.875	1812224.0	71.0
ilp54	12.0	507373.28125	2237.916748046875	6088479.5	26855.0
ilp55	6.0	180860.578125	22.66666603088379	1085163.5	136.0
ilp56	1.0	66734.609375	21.0	66734.609375	21.0
ilp57	3.0	165842.421875	26.0	497527.25	78.0
ilp58	3.0	365002.0	27.66666603088379	1095006.0	83.0
ilp59	3.0	166021.984375	7.333333492279053	498065.96875	22.0
ilp60	4.0	263704.53125	1973.25	1054818.125	7893.0
ilp61	9.0	149381.0625	19.88888931274414	1344429.5	179.0
ilp62	2.0	266019.65625	59.0	532039.3125	118.0
ilp63	9.0	266656.34375	12.0	2399907.0	108.0
ilp66	1.0	752085.5	7.0	752085.5	7.0
ilp70	4.0	196745.78125	31.5	786983.125	126.0
ilp71	1.0	192035.46875	60.0	192035.46875	60.0
ilp72	2.0	268500.8125	84.5	537001.625	169.0
ilp73	2.0	219850.65625	69.0	439701.3125	138.0
ilp74	11.0	918612.375	3897.727294921875	10104736.0	42875.0
ilp78	17.0	268369.75	3446.941162109375	4562286.0	58598.0
ilp79	1.0	123019.8984375	3899.0	123019.8984375	3899.0
ilp89	12.0	203595.4375	12.583333015441895	2443145.25	151.0
ilp90	2.0	66917.609375	10.0	133835.21875	20.0
ilp91	3.0	137740.0	13.333333015441895	413220.0	40.0
ilp93	1.0	214538.0	3904.0	214538.0	3904.0
ilp96	1.0	31583.0	13.0	31583.0	13.0
ilp102	1.0	201402.421875	3960.0	201402.421875	3960.0
ilp112	1.0	34866.4765625	15.0	34866.4765625	15.0
ilp118	4.0	211784.859375	1977.0	847139.4375	7908.0
ilp120	2.0	573760.9375	3924.0	1147521.875	7848.0
ilp121	4.0	258589.59375	107.0	1034358.375	428.0
ilp125	1.0	588818.5	83.0	588818.5	83.0
ilp136	2.0	250879.640625	150.0	501759.28125	300.0
ilp140	1.0	775680.0	3949.0	775680.0	3949.0
ilp159	2.0	232293.640625	76.0	464587.28125	152.0
ilp160	7.0	220595.109375	20.571428298950195	1544165.75	144.0
ilp161	8.0	113955.2578125	7.75	911642.0625	62.0
ilp163	5.0	77358.6953125	507.20001220703125	386793.46875	2536.0
ilp164	5.0	140123.78125	39.0	700618.875	195.0
ilp165	7.0	233602.765625	81.57142639160156	1635219.375	571.0
ilp166	4.0	54205.609375	13.25	216822.4375	53.0
ilp167	2.0	226090.265625	54.0	452180.53125	108.0
ilp168	5.0	128367.9765625	23.0	641839.875	115.0
ilp169	3.0	260921.359375	183.3333282470703	782764.0625	550.0
ilp170	4.0	59746.88671875	13.5	238987.546875	54.0
ilp171	3.0	340382.09375	4.666666507720947	1021146.25	14.0
ilp172	2.0	203787.390625	30.5	407574.78125	61.0
ilp173	1.0	224301.25	11.0	224301.25	11.0
ilp176	5.0	170331.65625	16.0	851658.3125	80.0
ilp177	10.0	239466.296875	12.699999809265137	2394663.0	127.0
ilp178	3.0	81505.6953125	15.666666984558105	244517.09375	47.0
ilp180	1.0	211805.328125	36.0	211805.328125	36.0
ilp181	1.0	74270.0	12.0	74270.0	12.0
ilp182	4.0	262094.9375	76.0	1048379.75	304.0
ilp183	1.0	130556.5625	15.0	130556.5625	15.0
ilp184	1.0	165910.4375	2058.0	165910.4375	2058.0
ilp186	2.0	171747.03125	2058.0	343494.0625	4116.0
ilp187	1.0	204540.375	1870.0	204540.375	1870.0
ilp188	5.0	112033.7890625	23.600000381469727	560168.9375	118.0
ilp189	2.0	191454.8125	8.0	382909.625	16.0
ilp190	3.0	172039.96875	32.33333206176758	516119.90625	97.0
ilp191	7.0	372242.4375	341.5714416503906	2605697.0	2391.0
ilp193	10.0	135989.515625	15.600000381469727	1359895.125	156.0
ilp195	3.0	351555.84375	1170.6666259765625	1054667.5	3512.0
ilp196	2.0	109969.96875	19.0	219939.9375	38.0
ilp197	2.0	85505.046875	25.0	171010.09375	50.0
ilp198	1.0	234096.375	17.0	234096.375	17.0
ilp199	3.0	186678.6875	1459.6666259765625	560036.0625	4379.0
ilp200	7.0	337874.65625	19.14285659790039	2365122.5	134.0
ilp203	2.0	308334.84375	233.5	616669.6875	467.0
ilp204	7.0	198407.171875	23.0	1388850.25	161.0
ilp206	5.0	451166.5	12.0	2255832.5	60.0
ilp218	11.0	354323.1875	28.0	3897555.0	308.0
ilp219	2.0	33601.0390625	16.0	67202.078125	32.0
ilp220	3.0	240379.375	24.0	721138.125	72.0
ilp224	1.0	413959.8125	21.0	413959.8125	21.0
ilp225	2.0	313886.09375	3060.0	627772.1875	6120.0
ilp226	1.0	99360.3515625	3936.0	99360.3515625	3936.0
ilp227	6.0	235628.796875	31.5	1413772.75	189.0
ilp228	7.0	96714.8046875	23.571428298950195	677003.625	165.0
ilp230	1.0	437147.0	12.0	437147.0	12.0
ilp232	3.0	126924.4609375	36.66666793823242	380773.375	110.0
ilp233	11.0	165824.625	1104.9090576171875	1824070.875	12154.0
ilp234	1.0	128348.8046875	1634.0	128348.8046875	1634.0
ilp240	1.0	4550.078125	5.0	4550.078125	5.0
