Feature	weight	gain	cover	total_gain	total_cover
ilp1	33.0	309.1434326171875	3.7878787517547607	10201.7333984375	125.0
ilp4	1.0	615.2664794921875	7.0	615.2664794921875	7.0
ilp5	17.0	1829.9849853515625	436.058837890625	31109.744140625	7413.0
ilp6	3.0	2249.824462890625	231.0	6749.4736328125	693.0
ilp9	2.0	424.1121826171875	14.0	848.224365234375	28.0
ilp10	2.0	861.3422241210938	8.0	1722.6844482421875	16.0
ilp14	7.0	425.4211730957031	5.142857074737549	2977.9482421875	36.0
ilp15	6.0	710.2682495117188	8.833333015441895	4261.609375	53.0
ilp20	20.0	1220.36767578125	5.949999809265137	24407.353515625	119.0
ilp21	8.0	278.72845458984375	14.5	2229.82763671875	116.0
ilp22	5.0	190.81300354003906	4.199999809265137	954.0650024414062	21.0
ilp23	9.0	531.7037963867188	11.222222328186035	4785.333984375	101.0
ilp24	12.0	594.6439819335938	14.166666984558105	7135.7275390625	170.0
ilp25	1.0	1219.3486328125	107.0	1219.3486328125	107.0
ilp26	18.0	1295.0638427734375	10.61111068725586	23311.1484375	191.0
ilp27	4.0	1394.8687744140625	14.5	5579.47509765625	58.0
ilp28	8.0	1460.435546875	25.875	11683.484375	207.0
ilp29	9.0	732.1547241210938	9.777777671813965	6589.392578125	88.0
ilp30	13.0	1427.98095703125	10.384614944458008	18563.751953125	135.0
ilp31	6.0	873.084716796875	10.666666984558105	5238.50830078125	64.0
ilp32	4.0	376.8841552734375	7.75	1507.53662109375	31.0
ilp33	6.0	710.6904296875	7.0	4264.142578125	42.0
ilp34	7.0	1240.321533203125	12.0	8682.2509765625	84.0
ilp35	3.0	1027.3858642578125	12.0	3082.15771484375	36.0
ilp36	9.0	1268.4984130859375	11.222222328186035	11416.4853515625	101.0
ilp39	5.0	4736.296875	9.399999618530273	23681.484375	47.0
ilp40	7.0	1174.7061767578125	6.4285712242126465	8222.943359375	45.0
ilp41	1.0	1495.533447265625	12.0	1495.533447265625	12.0
ilp43	1.0	1910.830810546875	8.0	1910.830810546875	8.0
ilp44	3.0	1784.7078857421875	22.0	5354.12353515625	66.0
ilp46	4.0	1139.95458984375	10.5	4559.818359375	42.0
ilp47	8.0	1738.37939453125	23.0	13907.03515625	184.0
ilp50	7.0	317.2248229980469	13.571428298950195	2220.57373046875	95.0
ilp51	2.0	2448.475341796875	31.0	4896.95068359375	62.0
ilp52	6.0	816.4600219726562	6.5	4898.76025390625	39.0
ilp53	2.0	895.656494140625	7.0	1791.31298828125	14.0
ilp54	11.0	2698.025146484375	2677.363525390625	29678.275390625	29451.0
ilp55	12.0	1342.87353515625	22.16666603088379	16114.482421875	266.0
ilp56	1.0	978.2293701171875	42.0	978.2293701171875	42.0
ilp57	8.0	863.754150390625	9.5	6910.033203125	76.0
ilp59	12.0	1361.18994140625	10.75	16334.279296875	129.0
ilp61	1.0	2559.6796875	32.0	2559.6796875	32.0
ilp62	9.0	1147.4617919921875	6.0	10327.15625	54.0
ilp63	6.0	1122.6485595703125	19.16666603088379	6735.8916015625	115.0
ilp67	3.0	1461.5498046875	19.33333396911621	4384.6494140625	58.0
ilp71	1.0	1298.7161865234375	22.0	1298.7161865234375	22.0
ilp73	3.0	2289.121337890625	15.0	6867.36376953125	45.0
ilp74	1.0	2059.52197265625	3363.0	2059.52197265625	3363.0
ilp75	3.0	4543.41455078125	2448.333251953125	13630.244140625	7345.0
ilp76	1.0	2106.76416015625	14.0	2106.76416015625	14.0
ilp78	1.0	1414.091796875	7.0	1414.091796875	7.0
ilp79	2.0	1611.6339111328125	1849.5	3223.267822265625	3699.0
ilp87	1.0	564.84619140625	21.0	564.84619140625	21.0
ilp89	8.0	2053.83935546875	23.5	16430.71484375	188.0
ilp90	1.0	560.2197265625	19.0	560.2197265625	19.0
ilp91	2.0	866.4813842773438	11.0	1732.9627685546875	22.0
ilp94	2.0	2306.65234375	88.5	4613.3046875	177.0
ilp96	2.0	1229.100830078125	1885.0	2458.20166015625	3770.0
ilp98	4.0	1535.107177734375	3722.0	6140.4287109375	14888.0
ilp102	1.0	1480.561279296875	80.0	1480.561279296875	80.0
ilp112	1.0	735.2716674804688	37.0	735.2716674804688	37.0
ilp116	1.0	2348.656982421875	13.0	2348.656982421875	13.0
ilp117	3.0	2300.191162109375	1299.6666259765625	6900.57373046875	3899.0
ilp120	21.0	3724.4716796875	3620.333251953125	78213.90625	76027.0
ilp132	3.0	1287.7601318359375	1222.0	3863.2802734375	3666.0
ilp133	1.0	2526.5390625	3111.0	2526.5390625	3111.0
ilp137	1.0	9131.37109375	49.0	9131.37109375	49.0
ilp139	1.0	1936.4796142578125	52.0	1936.4796142578125	52.0
ilp140	12.0	3563.930419921875	3560.166748046875	42767.1640625	42722.0
ilp144	1.0	2926.6611328125	3170.0	2926.6611328125	3170.0
ilp157	2.0	1844.28369140625	3765.0	3688.5673828125	7530.0
ilp159	1.0	31.30859375	5.0	31.30859375	5.0
ilp160	9.0	1708.925537109375	31.66666603088379	15380.330078125	285.0
ilp161	10.0	1177.0902099609375	16.600000381469727	11770.90234375	166.0
ilp162	3.0	1164.4232177734375	50.33333206176758	3493.269775390625	151.0
ilp163	4.0	1500.437255859375	14.0	6001.7490234375	56.0
ilp164	4.0	819.8390502929688	7.25	3279.356201171875	29.0
ilp165	2.0	1225.194091796875	13.0	2450.38818359375	26.0
ilp166	7.0	1699.8162841796875	72.42857360839844	11898.7138671875	507.0
ilp167	2.0	1800.2236328125	1446.5	3600.447265625	2893.0
ilp168	9.0	2381.0771484375	56.11111068725586	21429.693359375	505.0
ilp169	2.0	2877.593994140625	12.0	5755.18798828125	24.0
ilp171	14.0	1244.9464111328125	12.714285850524902	17429.25	178.0
ilp172	17.0	2773.07958984375	244.5294189453125	47142.3515625	4157.0
ilp173	1.0	1188.695068359375	33.0	1188.695068359375	33.0
ilp174	1.0	1283.9453125	36.0	1283.9453125	36.0
ilp175	2.0	1849.1231689453125	126.0	3698.246337890625	252.0
ilp176	2.0	2453.68359375	39.5	4907.3671875	79.0
ilp177	9.0	2349.221435546875	26.22222137451172	21142.9921875	236.0
ilp180	11.0	2103.6162109375	146.0	23139.779296875	1606.0
ilp181	11.0	1150.16259765625	72.36363983154297	12651.7880859375	796.0
ilp182	2.0	1590.1090087890625	1912.5	3180.218017578125	3825.0
ilp183	3.0	1178.5941162109375	22.66666603088379	3535.7822265625	68.0
ilp184	13.0	1270.3641357421875	318.69232177734375	16514.734375	4143.0
ilp187	1.0	2944.392333984375	9.0	2944.392333984375	9.0
ilp188	5.0	2683.55615234375	40.79999923706055	13417.7802734375	204.0
ilp190	2.0	605.629150390625	12.0	1211.25830078125	24.0
ilp191	7.0	1171.0213623046875	17.285715103149414	8197.1494140625	121.0
ilp193	8.0	1986.7027587890625	93.75	15893.6220703125	750.0
ilp194	3.0	1492.6148681640625	17.66666603088379	4477.8447265625	53.0
ilp195	3.0	981.8681640625	38.66666793823242	2945.6044921875	116.0
ilp196	6.0	2666.260986328125	16.83333396911621	15997.56640625	101.0
ilp197	9.0	5665.35205078125	126.11111450195312	50988.16796875	1135.0
ilp199	1.0	13312.6875	56.0	13312.6875	56.0
ilp200	3.0	2450.80078125	7.666666507720947	7352.40234375	23.0
ilp203	3.0	2451.176513671875	42.66666793823242	7353.529296875	128.0
ilp204	1.0	1785.1746826171875	359.0	1785.1746826171875	359.0
ilp206	7.0	2093.23046875	54.85714340209961	14652.61328125	384.0
ilp208	1.0	1274.71484375	8.0	1274.71484375	8.0
ilp209	6.0	1998.7138671875	35.83333206176758	11992.283203125	215.0
ilp211	1.0	1004.1904296875	100.0	1004.1904296875	100.0
ilp212	17.0	3306.8203125	2865.2353515625	56215.9453125	48709.0
ilp214	4.0	2547.007568359375	53.0	10188.0302734375	212.0
ilp216	3.0	7877.57275390625	101.0	23632.71875	303.0
ilp218	7.0	1508.136962890625	54.42856979370117	10556.958984375	381.0
ilp219	1.0	1442.42822265625	26.0	1442.42822265625	26.0
ilp227	7.0	2200.424560546875	51.0	15402.9716796875	357.0
ilp228	7.0	1966.078857421875	296.8571472167969	13762.5517578125	2078.0
ilp230	3.0	1492.1878662109375	81.0	4476.5634765625	243.0
ilp233	4.0	1080.308349609375	23.25	4321.2333984375	93.0
ilp240	1.0	305.8647155761719	12.0	305.8647155761719	12.0
ilp241	3.0	3737.2294921875	6.333333492279053	11211.6884765625	19.0
ilp242	1.0	1479.2158203125	32.0	1479.2158203125	32.0
ilp244	4.0	2781.24560546875	45.0	11124.982421875	180.0
ilp245	1.0	1174.11767578125	51.0	1174.11767578125	51.0
ilp246	3.0	2513.128662109375	34.0	7539.38623046875	102.0
ilp249	1.0	2993.1826171875	42.0	2993.1826171875	42.0
ilp251	11.0	1827.4046630859375	3278.0	20101.451171875	36058.0
ilp253	2.0	1988.77490234375	7.5	3977.5498046875	15.0
ilp254	5.0	2329.7978515625	2710.0	11648.9892578125	13550.0
ilp255	1.0	2283.57470703125	27.0	2283.57470703125	27.0
ilp256	1.0	1964.7332763671875	3594.0	1964.7332763671875	3594.0
ilp259	7.0	3869.013427734375	12.857142448425293	27083.09375	90.0
ilp261	1.0	4534.0	3507.0	4534.0	3507.0
ilp266	1.0	547.821044921875	9.0	547.821044921875	9.0
ilp267	3.0	658.3680419921875	15.666666984558105	1975.1041259765625	47.0
ilp269	3.0	1936.1787109375	3640.0	5808.5361328125	10920.0
ilp270	1.0	2125.87255859375	13.0	2125.87255859375	13.0
ilp280	1.0	2648.758056640625	21.0	2648.758056640625	21.0
ilp289	6.0	2847.700927734375	3721.666748046875	17086.205078125	22330.0
ilp293	1.0	1577.460693359375	19.0	1577.460693359375	19.0
ilp309	1.0	1229.42578125	54.0	1229.42578125	54.0
ilp311	14.0	5764.19580078125	606.5714111328125	80698.7421875	8492.0
ilp316	1.0	693.361572265625	7.0	693.361572265625	7.0
ilp321	1.0	2963.71923828125	18.0	2963.71923828125	18.0
ilp326	4.0	2571.87158203125	72.25	10287.486328125	289.0
ilp329	3.0	3000.313720703125	517.0	9000.94140625	1551.0
ilp337	1.0	2434.56201171875	52.0	2434.56201171875	52.0
ilp338	1.0	2250.31787109375	3723.0	2250.31787109375	3723.0
ilp349	2.0	2987.0654296875	1602.5	5974.130859375	3205.0
ilp363	4.0	2481.747314453125	944.75	9926.9892578125	3779.0
ilp364	4.0	1922.9581298828125	6.75	7691.83251953125	27.0
ilp365	15.0	1659.0859375	34.20000076293945	24886.2890625	513.0
ilp366	2.0	3655.830322265625	20.0	7311.66064453125	40.0
ilp369	1.0	2779.99609375	12.0	2779.99609375	12.0
ilp370	6.0	1528.7933349609375	1181.6666259765625	9172.759765625	7090.0
ilp371	7.0	2884.001708984375	23.85714340209961	20188.01171875	167.0
ilp372	1.0	2069.7119140625	10.0	2069.7119140625	10.0
ilp373	9.0	2146.4658203125	2050.333251953125	19318.193359375	18453.0
ilp375	4.0	2877.75390625	322.25	11511.015625	1289.0
ilp377	1.0	2977.015380859375	34.0	2977.015380859375	34.0
ilp379	4.0	3233.602294921875	26.75	12934.4091796875	107.0
ilp381	5.0	3518.584716796875	248.0	17592.923828125	1240.0
ilp384	1.0	1815.2991943359375	23.0	1815.2991943359375	23.0
ilp385	1.0	1893.75927734375	28.0	1893.75927734375	28.0
ilp389	1.0	1783.758544921875	3714.0	1783.758544921875	3714.0
ilp390	1.0	2979.859619140625	120.0	2979.859619140625	120.0
ilp391	1.0	1911.931884765625	29.0	1911.931884765625	29.0
ilp392	1.0	1075.294921875	40.0	1075.294921875	40.0
ilp395	3.0	2037.6739501953125	45.33333206176758	6113.02197265625	136.0
ilp398	1.0	2268.45654296875	3648.0	2268.45654296875	3648.0
ilp403	2.0	1711.107421875	76.5	3422.21484375	153.0
ilp407	1.0	2489.22705078125	3632.0	2489.22705078125	3632.0
ilp411	10.0	2111.05224609375	3734.0	21110.521484375	37340.0
ilp422	1.0	2076.30859375	3608.0	2076.30859375	3608.0
ilp431	1.0	3708.962890625	551.0	3708.962890625	551.0
ilp432	1.0	1540.727783203125	41.0	1540.727783203125	41.0
ilp435	3.0	4344.11572265625	278.6666564941406	13032.34765625	836.0
ilp436	1.0	1744.0543212890625	3713.0	1744.0543212890625	3713.0
ilp442	1.0	4667.578125	578.0	4667.578125	578.0
ilp450	12.0	3159.5849609375	3667.166748046875	37915.01953125	44006.0
ilp460	8.0	5984.4853515625	133.75	47875.8828125	1070.0
ilp461	2.0	1594.4166259765625	50.0	3188.833251953125	100.0
ilp464	9.0	1279.1280517578125	13.55555534362793	11512.15234375	122.0
ilp465	1.0	292.875	39.0	292.875	39.0
ilp466	6.0	2878.363525390625	610.0	17270.181640625	3660.0
ilp468	3.0	3973.027587890625	19.33333396911621	11919.0830078125	58.0
ilp469	1.0	1429.71533203125	28.0	1429.71533203125	28.0
ilp470	1.0	815.496337890625	22.0	815.496337890625	22.0
ilp471	4.0	2836.069580078125	66.5	11344.2783203125	266.0
ilp472	2.0	1904.697509765625	1738.0	3809.39501953125	3476.0
ilp473	2.0	312.43560791015625	9.0	624.8712158203125	18.0
ilp474	8.0	3693.3369140625	56.625	29546.6953125	453.0
ilp475	3.0	1538.41015625	43.33333206176758	4615.23046875	130.0
ilp476	2.0	2422.2236328125	31.0	4844.447265625	62.0
ilp479	3.0	1943.6422119140625	3741.666748046875	5830.9267578125	11225.0
ilp480	1.0	2227.153076171875	3398.0	2227.153076171875	3398.0
ilp482	12.0	2178.3193359375	3658.166748046875	26139.83203125	43898.0
ilp484	1.0	2262.3359375	106.0	2262.3359375	106.0
ilp485	6.0	4538.51513671875	164.3333282470703	27231.091796875	986.0
ilp486	1.0	1534.258056640625	16.0	1534.258056640625	16.0
ilp489	10.0	2553.288818359375	622.4000244140625	25532.888671875	6224.0
ilp491	2.0	1356.195068359375	28.5	2712.39013671875	57.0
ilp493	4.0	2873.09033203125	248.75	11492.361328125	995.0
ilp496	1.0	2668.28125	62.0	2668.28125	62.0
ilp497	2.0	2020.869873046875	1843.5	4041.73974609375	3687.0
ilp498	8.0	4298.013671875	15.875	34384.109375	127.0
ilp509	3.0	1867.1722412109375	2466.333251953125	5601.5166015625	7399.0
ilp513	15.0	3634.67529296875	3456.933349609375	54520.12890625	51854.0
ilp516	3.0	3253.554931640625	3541.333251953125	9760.6650390625	10624.0
ilp524	2.0	3113.55322265625	41.5	6227.1064453125	83.0
ilp527	1.0	854.913330078125	64.0	854.913330078125	64.0
ilp528	3.0	3724.025390625	268.6666564941406	11172.076171875	806.0
ilp529	6.0	2389.813232421875	138.8333282470703	14338.8798828125	833.0
ilp530	8.0	2102.35986328125	10.625	16818.87890625	85.0
ilp532	1.0	2378.82470703125	119.0	2378.82470703125	119.0
ilp533	5.0	2533.70068359375	3642.800048828125	12668.5029296875	18214.0
ilp534	7.0	2726.212158203125	14.285714149475098	19083.484375	100.0
ilp535	3.0	1778.984375	3727.666748046875	5336.953125	11183.0
ilp536	12.0	2033.0628662109375	3140.166748046875	24396.75390625	37682.0
ilp538	1.0	2159.38525390625	22.0	2159.38525390625	22.0
ilp541	4.0	5114.224609375	1017.25	20456.8984375	4069.0
ilp543	6.0	1111.3775634765625	8.333333015441895	6668.26513671875	50.0
ilp544	2.0	2291.5107421875	1763.0	4583.021484375	3526.0
ilp545	1.0	1706.85205078125	71.0	1706.85205078125	71.0
ilp553	2.0	1577.8291015625	291.5	3155.658203125	583.0
ilp555	2.0	510.4451904296875	23.0	1020.890380859375	46.0
ilp556	1.0	2064.12890625	68.0	2064.12890625	68.0
ilp559	4.0	1565.431396484375	3017.0	6261.7255859375	12068.0
ilp560	1.0	2574.539306640625	20.0	2574.539306640625	20.0
ilp566	2.0	881.898681640625	9.5	1763.79736328125	19.0
ilp581	4.0	3943.67529296875	120.0	15774.701171875	480.0
ilp582	10.0	1575.1151123046875	3733.300048828125	15751.1513671875	37333.0
ilp585	1.0	1335.878173828125	21.0	1335.878173828125	21.0
ilp588	5.0	1619.9453125	14.600000381469727	8099.7265625	73.0
ilp590	8.0	2681.3466796875	505.75	21450.7734375	4046.0
ilp591	3.0	1692.3095703125	1221.0	5076.9287109375	3663.0
ilp597	12.0	3978.8193359375	2779.333251953125	47745.83203125	33352.0
ilp598	3.0	3404.235595703125	2494.666748046875	10212.70703125	7484.0
ilp601	1.0	3654.890625	24.0	3654.890625	24.0
ilp608	4.0	2269.2001953125	636.25	9076.80078125	2545.0
ilp610	1.0	184.8599853515625	14.0	184.8599853515625	14.0
ilp611	2.0	703.1640625	36.5	1406.328125	73.0
ilp612	2.0	3053.494140625	81.0	6106.98828125	162.0
ilp613	8.0	4921.5478515625	103.875	39372.3828125	831.0
ilp614	2.0	1661.424072265625	14.0	3322.84814453125	28.0
ilp615	1.0	2607.2587890625	16.0	2607.2587890625	16.0
ilp619	1.0	1805.575927734375	918.0	1805.575927734375	918.0
ilp620	5.0	1357.6533203125	35.599998474121094	6788.2666015625	178.0
