Feature	weight	gain	cover	total_gain	total_cover
ilp1	2.0	56.14276885986328	2.5	112.28553771972656	5.0
ilp4	12.0	552.2109985351562	1567.3333740234375	6626.53173828125	18808.0
ilp5	6.0	234.29820251464844	23.16666603088379	1405.7891845703125	139.0
ilp10	1.0	564.0869140625	52.0	564.0869140625	52.0
ilp14	21.0	249.23895263671875	5.0	5234.01806640625	105.0
ilp15	8.0	213.06336975097656	15.75	1704.5069580078125	126.0
ilp20	32.0	151.91798400878906	5.09375	4861.37548828125	163.0
ilp21	17.0	160.99496459960938	4.647058963775635	2736.914306640625	79.0
ilp22	29.0	519.3902587890625	797.2069091796875	15062.318359375	23119.0
ilp23	16.0	187.5115203857422	7.9375	3000.184326171875	127.0
ilp24	9.0	596.4705200195312	16.55555534362793	5368.23486328125	149.0
ilp25	1.0	409.6409912109375	89.0	409.6409912109375	89.0
ilp26	9.0	27.690263748168945	3.222222328186035	249.21237182617188	29.0
ilp27	10.0	575.6802978515625	23.600000381469727	5756.802734375	236.0
ilp28	11.0	597.6080932617188	6.2727274894714355	6573.68896484375	69.0
ilp29	4.0	209.94808959960938	7.5	839.7923583984375	30.0
ilp30	6.0	223.7438507080078	7.666666507720947	1342.463134765625	46.0
ilp31	8.0	387.3387145996094	374.875	3098.709716796875	2999.0
ilp32	5.0	309.37786865234375	605.5999755859375	1546.8892822265625	3028.0
ilp33	5.0	342.6875915527344	6.0	1713.43798828125	30.0
ilp34	8.0	221.56280517578125	6.625	1772.50244140625	53.0
ilp35	9.0	532.9078979492188	10.777777671813965	4796.1708984375	97.0
ilp36	3.0	1025.4732666015625	25.33333396911621	3076.419921875	76.0
ilp40	2.0	71.9097900390625	7.0	143.819580078125	14.0
ilp41	1.0	626.5635375976562	1301.0	626.5635375976562	1301.0
ilp42	2.0	191.09121704101562	10.0	382.18243408203125	20.0
ilp43	3.0	525.361572265625	4.0	1576.084716796875	12.0
ilp44	11.0	934.8305053710938	1918.9090576171875	10283.1357421875	21108.0
ilp46	8.0	222.03329467773438	14.125	1776.266357421875	113.0
ilp47	3.0	238.82704162597656	6.666666507720947	716.4811401367188	20.0
ilp48	10.0	365.302978515625	11.699999809265137	3653.02978515625	117.0
ilp49	1.0	858.9442138671875	21.0	858.9442138671875	21.0
ilp50	5.0	278.23040771484375	16.600000381469727	1391.152099609375	83.0
ilp51	2.0	582.8181762695312	11.5	1165.6363525390625	23.0
ilp52	6.0	178.812744140625	8.666666984558105	1072.87646484375	52.0
ilp53	2.0	201.05137634277344	8.5	402.1027526855469	17.0
ilp54	4.0	290.6206359863281	6.0	1162.4825439453125	24.0
ilp55	2.0	496.28643798828125	25.0	992.5728759765625	50.0
ilp57	10.0	231.9402313232422	19.0	2319.40234375	190.0
ilp59	3.0	95.49837493896484	5.333333492279053	286.4951171875	16.0
ilp60	7.0	658.2457275390625	12.857142448425293	4607.72021484375	90.0
ilp61	7.0	428.139404296875	25.428571701049805	2996.975830078125	178.0
ilp62	3.0	586.5620727539062	17.33333396911621	1759.686279296875	52.0
ilp63	4.0	123.12852478027344	5.5	492.51409912109375	22.0
ilp66	2.0	356.48675537109375	12.0	712.9735107421875	24.0
ilp72	5.0	406.6729736328125	34.599998474121094	2033.3648681640625	173.0
