Feature	weight	gain	cover	total_gain	total_cover
ilp1	22.0	1326.8096923828125	3.2727272510528564	29189.8125	72.0
ilp4	3.0	1137.06982421875	3.0	3411.20947265625	9.0
ilp5	1.0	192.878173828125	2.0	192.878173828125	2.0
ilp9	8.0	1065.9107666015625	8.875	8527.2861328125	71.0
ilp14	18.0	1095.2188720703125	228.94444274902344	19713.939453125	4121.0
ilp15	11.0	1155.802978515625	18.090909957885742	12713.8330078125	199.0
ilp18	2.0	3016.225341796875	3140.5	6032.45068359375	6281.0
ilp19	6.0	1732.8271484375	350.1666564941406	10396.962890625	2101.0
ilp20	20.0	1669.0849609375	215.10000610351562	33381.69921875	4302.0
ilp21	8.0	770.0643310546875	5.5	6160.5146484375	44.0
ilp22	8.0	2423.05908203125	9.375	19384.47265625	75.0
ilp23	4.0	1418.8118896484375	13.0	5675.24755859375	52.0
ilp24	20.0	856.3694458007812	4.949999809265137	17127.388671875	99.0
ilp26	8.0	1963.540771484375	8.125	15708.326171875	65.0
ilp27	3.0	1391.75927734375	22.66666603088379	4175.27783203125	68.0
ilp28	15.0	1633.640625	11.733333587646484	24504.609375	176.0
ilp29	13.0	3867.766845703125	59.769229888916016	50280.96875	777.0
ilp30	10.0	3292.430419921875	19.100000381469727	32924.3046875	191.0
ilp31	9.0	1397.9984130859375	19.55555534362793	12581.9853515625	176.0
ilp32	2.0	2135.68603515625	10.0	4271.3720703125	20.0
ilp33	7.0	1490.908203125	19.85714340209961	10436.357421875	139.0
ilp34	5.0	1638.2139892578125	36.599998474121094	8191.06982421875	183.0
ilp35	6.0	1992.0633544921875	8.5	11952.3798828125	51.0
ilp36	8.0	3645.704345703125	2418.25	29165.634765625	19346.0
ilp37	1.0	445.15380859375	11.0	445.15380859375	11.0
ilp39	2.0	2255.434326171875	14.0	4510.86865234375	28.0
ilp40	3.0	4213.99169921875	174.6666717529297	12641.974609375	524.0
ilp42	3.0	1788.5667724609375	10.666666984558105	5365.7001953125	32.0
ilp43	7.0	5587.4599609375	24.0	39112.21875	168.0
ilp44	8.0	2518.013671875	11.5	20144.109375	92.0
ilp46	14.0	1969.8594970703125	1106.2857666015625	27578.033203125	15488.0
ilp47	5.0	1183.6435546875	15.199999809265137	5918.2177734375	76.0
ilp48	5.0	1542.4102783203125	11.399999618530273	7712.05126953125	57.0
ilp49	7.0	2943.038818359375	12.428571701049805	20601.271484375	87.0
ilp50	8.0	1226.340576171875	12.0	9810.724609375	96.0
ilp51	3.0	2774.591064453125	24.66666603088379	8323.7734375	74.0
ilp52	2.0	1254.56787109375	6.5	2509.1357421875	13.0
ilp53	2.0	1227.41455078125	10.0	2454.8291015625	20.0
ilp54	8.0	3646.731201171875	1450.625	29173.849609375	11605.0
ilp55	3.0	1716.8067626953125	50.33333206176758	5150.42041015625	151.0
ilp57	3.0	1651.9010009765625	49.66666793823242	4955.703125	149.0
ilp58	4.0	1567.2705078125	26.75	6269.08203125	107.0
