Feature	weight	gain	cover	total_gain	total_cover
ilp1	26.0	289.7717590332031	3.884615421295166	7534.0654296875	101.0
ilp4	1.0	28.26686668395996	7.0	28.26686668395996	7.0
ilp5	1.0	102.1575927734375	2.0	102.1575927734375	2.0
ilp14	7.0	732.2186889648438	2528.142822265625	5125.53076171875	17697.0
ilp15	5.0	460.8711853027344	8.199999809265137	2304.35595703125	41.0
ilp20	32.0	1057.6990966796875	5.53125	33846.37109375	177.0
ilp21	14.0	298.8726501464844	7.0714287757873535	4184.21728515625	99.0
ilp22	10.0	443.786376953125	6.599999904632568	4437.86376953125	66.0
ilp23	18.0	634.5568237304688	1053.4444580078125	11422.0224609375	18962.0
ilp24	6.0	97.43769073486328	4.0	584.6261596679688	24.0
ilp25	7.0	1142.3345947265625	168.42857360839844	7996.34228515625	1179.0
ilp26	17.0	1382.9376220703125	6.411764621734619	23509.939453125	109.0
ilp27	1.0	670.3403930664062	217.0	670.3403930664062	217.0
ilp28	12.0	889.1969604492188	16.0	10670.36328125	192.0
ilp29	10.0	381.5320739746094	13.0	3815.32080078125	130.0
ilp30	16.0	561.635986328125	8.5	8986.17578125	136.0
ilp31	9.0	158.7607421875	5.666666507720947	1428.8466796875	51.0
ilp32	11.0	728.0592041015625	9.181818008422852	8008.6513671875	101.0
ilp33	9.0	391.7943115234375	7.111111164093018	3526.148681640625	64.0
ilp34	2.0	664.1728515625	19.5	1328.345703125	39.0
ilp35	3.0	827.0593872070312	19.0	2481.17822265625	57.0
ilp36	4.0	1225.134765625	55.5	4900.5390625	222.0
ilp38	1.0	85.75009155273438	4.0	85.75009155273438	4.0
ilp39	2.0	510.1373596191406	12.0	1020.2747192382812	24.0
ilp40	11.0	1337.7176513671875	97.54545593261719	14714.8935546875	1073.0
ilp41	1.0	317.0463562011719	7.0	317.0463562011719	7.0
ilp43	1.0	1202.927734375	118.0	1202.927734375	118.0
ilp46	4.0	1721.092529296875	32.5	6884.3701171875	130.0
ilp47	9.0	468.1701354980469	11.222222328186035	4213.53125	101.0
ilp48	11.0	476.59161376953125	16.0	5242.5078125	176.0
ilp49	8.0	769.1783447265625	14.0	6153.4267578125	112.0
ilp50	6.0	558.53564453125	267.0	3351.2138671875	1602.0
ilp51	2.0	1001.2499389648438	128.0	2002.4998779296875	256.0
ilp52	12.0	805.6803588867188	15.416666984558105	9668.1640625	185.0
ilp53	11.0	755.3602905273438	7.0	8308.962890625	77.0
ilp54	2.0	413.662353515625	8.5	827.32470703125	17.0
ilp55	12.0	1091.3125	3051.25	13095.75	36615.0
ilp56	1.0	67.85902404785156	7.0	67.85902404785156	7.0
ilp57	5.0	571.4691162109375	8.399999618530273	2857.345703125	42.0
ilp58	3.0	702.165283203125	9.333333015441895	2106.495849609375	28.0
ilp59	5.0	1061.726806640625	55.599998474121094	5308.63427734375	278.0
ilp60	5.0	340.61273193359375	7.800000190734863	1703.0635986328125	39.0
ilp61	3.0	836.936767578125	81.66666412353516	2510.810302734375	245.0
ilp62	7.0	980.2603759765625	28.85714340209961	6861.82275390625	202.0
ilp63	2.0	556.77392578125	9.0	1113.5478515625	18.0
ilp67	1.0	1614.03564453125	18.0	1614.03564453125	18.0
ilp71	1.0	164.12744140625	5.0	164.12744140625	5.0
ilp73	2.0	1163.118408203125	46.0	2326.23681640625	92.0
ilp74	7.0	3217.398681640625	3043.71435546875	22521.791015625	21306.0
ilp76	3.0	330.6472473144531	6.333333492279053	991.9417114257812	19.0
ilp78	12.0	1904.57958984375	3267.25	22854.955078125	39207.0
ilp84	2.0	487.546875	52.5	975.09375	105.0
ilp89	12.0	430.7806701660156	13.916666984558105	5169.3681640625	167.0
ilp90	2.0	211.53204345703125	6.0	423.0640869140625	12.0
ilp91	1.0	168.23428344726562	13.0	168.23428344726562	13.0
ilp93	7.0	1617.3045654296875	3076.857177734375	11321.1318359375	21538.0
ilp94	1.0	998.5321655273438	32.0	998.5321655273438	32.0
ilp97	1.0	999.343505859375	24.0	999.343505859375	24.0
ilp103	1.0	896.760498046875	17.0	896.760498046875	17.0
ilp104	3.0	791.8908081054688	37.66666793823242	2375.67236328125	113.0
ilp118	6.0	1212.9884033203125	972.3333129882812	7277.9306640625	5834.0
ilp121	1.0	2436.77734375	108.0	2436.77734375	108.0
ilp123	1.0	532.5904541015625	25.0	532.5904541015625	25.0
ilp125	7.0	1543.6875	116.14286041259766	10805.8125	813.0
ilp129	1.0	875.3432006835938	32.0	875.3432006835938	32.0
ilp132	1.0	1167.697021484375	3418.0	1167.697021484375	3418.0
ilp135	1.0	1575.03125	3548.0	1575.03125	3548.0
ilp138	1.0	304.7945556640625	30.0	304.7945556640625	30.0
ilp139	1.0	79.11771392822266	11.0	79.11771392822266	11.0
ilp140	18.0	2485.378662109375	3500.666748046875	44736.81640625	63012.0
ilp153	3.0	821.8739624023438	3521.0	2465.621826171875	10563.0
ilp160	33.0	1251.4273681640625	17.57575798034668	41297.1015625	580.0
ilp161	6.0	908.4855346679688	636.6666870117188	5450.9130859375	3820.0
ilp163	9.0	864.32080078125	1561.6666259765625	7778.88720703125	14055.0
ilp164	6.0	892.646728515625	24.5	5355.88037109375	147.0
ilp165	7.0	1037.0823974609375	51.85714340209961	7259.5771484375	363.0
ilp166	6.0	740.4861450195312	2133.166748046875	4442.9169921875	12799.0
ilp167	5.0	742.7991333007812	26.0	3713.99560546875	130.0
ilp168	8.0	849.7291259765625	32.5	6797.8330078125	260.0
ilp169	4.0	1313.667724609375	20.75	5254.6708984375	83.0
ilp170	28.0	1238.7353515625	3042.21435546875	34684.58984375	85182.0
ilp171	5.0	2311.2177734375	18.0	11556.0888671875	90.0
ilp172	4.0	1439.8836669921875	15.75	5759.53466796875	63.0
ilp173	2.0	676.5205688476562	18.0	1353.0411376953125	36.0
ilp174	2.0	841.4139404296875	98.5	1682.827880859375	197.0
ilp175	4.0	620.7291870117188	26.0	2482.916748046875	104.0
ilp176	11.0	710.3389892578125	25.454545974731445	7813.72900390625	280.0
ilp177	5.0	816.5648803710938	27.600000381469727	4082.824462890625	138.0
ilp178	3.0	1953.7744140625	341.0	5861.3232421875	1023.0
ilp180	5.0	1236.10205078125	823.7999877929688	6180.51025390625	4119.0
ilp181	6.0	811.8588256835938	328.3333435058594	4871.15283203125	1970.0
ilp182	2.0	666.0511474609375	14.0	1332.102294921875	28.0
ilp183	2.0	1310.8333740234375	74.5	2621.666748046875	149.0
ilp184	3.0	1009.5529174804688	86.66666412353516	3028.65869140625	260.0
ilp185	2.0	2064.19921875	93.5	4128.3984375	187.0
ilp187	2.0	892.9149169921875	22.5	1785.829833984375	45.0
ilp188	7.0	1139.1654052734375	2716.857177734375	7974.158203125	19018.0
ilp189	1.0	276.33123779296875	14.0	276.33123779296875	14.0
ilp190	6.0	692.03955078125	1198.6666259765625	4152.2373046875	7192.0
ilp191	17.0	1420.943359375	40.29411697387695	24156.037109375	685.0
ilp193	5.0	1117.7696533203125	13.0	5588.84814453125	65.0
ilp194	10.0	986.4827880859375	18.700000762939453	9864.828125	187.0
ilp195	1.0	833.515625	111.0	833.515625	111.0
ilp196	11.0	955.8240356445312	3104.636474609375	10514.064453125	34151.0
ilp198	4.0	1068.99072265625	58.0	4275.962890625	232.0
ilp204	1.0	1497.0159912109375	1851.0	1497.0159912109375	1851.0
ilp206	4.0	1118.7471923828125	551.0	4474.98876953125	2204.0
ilp208	1.0	904.75244140625	3010.0	904.75244140625	3010.0
ilp209	3.0	1285.8970947265625	139.0	3857.69140625	417.0
ilp212	1.0	557.2523803710938	3542.0	557.2523803710938	3542.0
ilp214	4.0	1166.93408203125	582.75	4667.736328125	2331.0
ilp216	4.0	1409.71337890625	2678.0	5638.853515625	10712.0
ilp218	16.0	1056.80126953125	304.375	16908.8203125	4870.0
ilp224	3.0	663.3757934570312	25.33333396911621	1990.1273193359375	76.0
ilp225	1.0	957.8184204101562	228.0	957.8184204101562	228.0
ilp228	6.0	620.6920166015625	51.16666793823242	3724.152099609375	307.0
ilp230	10.0	1176.7135009765625	19.299999237060547	11767.134765625	193.0
ilp231	2.0	1349.5126953125	25.5	2699.025390625	51.0
ilp232	2.0	1071.24755859375	26.0	2142.4951171875	52.0
ilp233	8.0	736.2833251953125	1189.75	5890.2666015625	9518.0
ilp240	5.0	724.3760375976562	20.0	3621.880126953125	100.0
ilp243	1.0	372.49737548828125	15.0	372.49737548828125	15.0
ilp245	5.0	907.7554931640625	61.20000076293945	4538.77734375	306.0
ilp246	4.0	720.4498901367188	45.5	2881.799560546875	182.0
