Feature	weight	gain	cover	total_gain	total_cover
ilp1	15.0	8664.6357421875	2.6666667461395264	129969.5390625	40.0
ilp5	6.0	4545.27197265625	117.0	27271.6328125	702.0
ilp9	1.0	3218.185302734375	3501.0	3218.185302734375	3501.0
ilp14	9.0	5709.31640625	416.0	51383.84765625	3744.0
ilp15	4.0	1385.4833984375	4.25	5541.93359375	17.0
ilp20	20.0	7783.0703125	4.150000095367432	155661.40625	83.0
ilp21	4.0	1148.64111328125	15.75	4594.564453125	63.0
ilp22	5.0	4363.96533203125	732.2000122070312	21819.826171875	3661.0
ilp23	9.0	3874.61767578125	15.11111068725586	34871.55859375	136.0
ilp24	10.0	3574.49609375	13.800000190734863	35744.9609375	138.0
ilp25	2.0	6922.9453125	48.0	13845.890625	96.0
ilp26	13.0	2393.322509765625	6.384615421295166	31113.19140625	83.0
ilp27	8.0	2180.79638671875	7.0	17446.37109375	56.0
ilp28	4.0	2491.246337890625	9.0	9964.9853515625	36.0
ilp29	2.0	1808.0718994140625	12.5	3616.143798828125	25.0
ilp30	9.0	3620.716796875	16.66666603088379	32586.451171875	150.0
ilp31	10.0	5048.39306640625	7.300000190734863	50483.9296875	73.0
ilp32	1.0	12204.78125	783.0	12204.78125	783.0
ilp33	4.0	9132.2060546875	5.25	36528.82421875	21.0
ilp34	2.0	7019.33056640625	7.5	14038.6611328125	15.0
ilp35	2.0	3839.863525390625	22.5	7679.72705078125	45.0
ilp36	1.0	4462.76318359375	768.0	4462.76318359375	768.0
ilp37	1.0	39240.0	3655.0	39240.0	3655.0
ilp39	1.0	3051.12548828125	17.0	3051.12548828125	17.0
ilp40	11.0	10903.9814453125	86.63636016845703	119943.796875	953.0
ilp44	1.0	1055.8458251953125	4.0	1055.8458251953125	4.0
ilp46	12.0	4612.83642578125	9.5	55354.03515625	114.0
ilp47	4.0	3749.3564453125	14.5	14997.42578125	58.0
ilp48	4.0	24485.58984375	10.0	97942.359375	40.0
ilp49	8.0	3528.294677734375	41.125	28226.357421875	329.0
ilp50	12.0	3588.227294921875	7.416666507720947	43058.7265625	89.0
ilp51	16.0	3049.236328125	20.4375	48787.78125	327.0
ilp52	1.0	4064.56494140625	10.0	4064.56494140625	10.0
ilp53	3.0	6115.400390625	6.333333492279053	18346.201171875	19.0
ilp54	9.0	6810.32470703125	2333.888916015625	61292.921875	21005.0
ilp57	4.0	5541.3427734375	7.0	22165.37109375	28.0
ilp59	2.0	21689.09375	23.0	43378.1875	46.0
ilp60	1.0	2121.87451171875	7.0	2121.87451171875	7.0
ilp61	9.0	5537.6337890625	1040.77783203125	49838.703125	9367.0
ilp62	2.0	11128.93359375	42.0	22257.8671875	84.0
ilp63	5.0	14260.8564453125	9.600000381469727	71304.28125	48.0
ilp66	2.0	3571.633544921875	20.0	7143.26708984375	40.0
ilp67	1.0	5234.25	194.0	5234.25	194.0
ilp70	3.0	3553.922119140625	33.66666793823242	10661.7666015625	101.0
ilp72	4.0	6208.23974609375	11.25	24832.958984375	45.0
ilp73	1.0	3270.163330078125	10.0	3270.163330078125	10.0
ilp74	4.0	10463.912109375	2970.25	41855.6484375	11881.0
ilp76	1.0	6394.91943359375	1853.0	6394.91943359375	1853.0
