Feature	weight	gain	cover	total_gain	total_cover
ilp1	48.0	3386.093505859375	3.25	162532.484375	156.0
ilp5	6.0	2647.555908203125	147.8333282470703	15885.3359375	887.0
ilp14	14.0	3938.851318359375	8.571428298950195	55143.91796875	120.0
ilp15	32.0	1402.78125	5.84375	44889.0	187.0
ilp20	15.0	4843.27490234375	7.599999904632568	72649.125	114.0
ilp21	12.0	4129.77587890625	13.0	49557.3125	156.0
ilp22	7.0	2287.4833984375	14.857142448425293	16012.3837890625	104.0
ilp23	19.0	5531.7412109375	6.473684310913086	105103.0859375	123.0
ilp24	23.0	2590.158203125	87.86956787109375	59573.640625	2021.0
ilp25	5.0	8360.568359375	175.60000610351562	41802.83984375	878.0
ilp26	19.0	5622.42431640625	13.105262756347656	106826.0625	249.0
ilp27	35.0	3528.987548828125	5.77142858505249	123514.5625	202.0
ilp28	8.0	4569.8310546875	7.625	36558.6484375	61.0
ilp30	21.0	8592.6923828125	205.61904907226562	180446.546875	4318.0
ilp31	18.0	5884.99609375	14.44444465637207	105929.9296875	260.0
ilp32	8.0	4847.3681640625	8.25	38778.9453125	66.0
ilp33	3.0	3813.806396484375	7.333333492279053	11441.4189453125	22.0
ilp34	14.0	3618.628173828125	22.285715103149414	50660.79296875	312.0
ilp35	30.0	11232.1220703125	196.0	336963.65625	5880.0
ilp36	1.0	213.1397247314453	5.0	213.1397247314453	5.0
ilp37	1.0	11881.5	2600.0	11881.5	2600.0
ilp39	5.0	8627.828125	263.20001220703125	43139.140625	1316.0
ilp40	5.0	5582.294921875	108.5999984741211	27911.474609375	543.0
ilp44	1.0	3235.96484375	10.0	3235.96484375	10.0
ilp46	1.0	191.984375	7.0	191.984375	7.0
ilp47	3.0	8187.65625	9.666666984558105	24562.96875	29.0
ilp48	9.0	2665.125244140625	9.666666984558105	23986.126953125	87.0
ilp49	1.0	1127.21875	12.0	1127.21875	12.0
ilp50	11.0	4982.45458984375	771.3636474609375	54807.0	8485.0
ilp51	3.0	8083.86083984375	22.66666603088379	24251.58203125	68.0
ilp52	1.0	5279.5390625	9.0	5279.5390625	9.0
ilp53	2.0	4347.3740234375	7.5	8694.748046875	15.0
ilp55	12.0	11984.03515625	16.5	143808.421875	198.0
ilp56	2.0	2811.06103515625	5.5	5622.1220703125	11.0
ilp57	2.0	5956.1044921875	64.5	11912.208984375	129.0
ilp59	6.0	6345.24072265625	94.0	38071.4453125	564.0
ilp60	2.0	4447.1123046875	8.5	8894.224609375	17.0
