Feature	weight	gain	cover	total_gain	total_cover
ilp1	38.0	1689.9061279296875	3.0526316165924072	64216.43359375	116.0
ilp4	1.0	549.4151611328125	4.0	549.4151611328125	4.0
ilp5	7.0	3139.99658203125	1121.2857666015625	21979.9765625	7849.0
ilp6	1.0	14430.71875	112.0	14430.71875	112.0
ilp14	9.0	2546.547607421875	3.6666667461395264	22918.927734375	33.0
ilp15	7.0	2250.588623046875	4.142857074737549	15754.12109375	29.0
ilp20	14.0	1495.796142578125	4.214285850524902	20941.146484375	59.0
ilp21	15.0	3572.5498046875	29.0	53588.24609375	435.0
ilp22	10.0	3359.8203125	6.800000190734863	33598.203125	68.0
ilp23	16.0	4787.9267578125	492.9375	76606.828125	7887.0
ilp24	20.0	4479.71875	6.050000190734863	89594.375	121.0
ilp25	19.0	8792.5166015625	1686.26318359375	167057.8125	32039.0
ilp26	6.0	2020.22802734375	5.5	12121.3681640625	33.0
ilp27	13.0	6028.890625	48.230770111083984	78375.578125	627.0
ilp28	9.0	4460.36474609375	6.777777671813965	40143.28125	61.0
ilp29	3.0	7294.86572265625	47.66666793823242	21884.59765625	143.0
ilp30	8.0	4523.658203125	29.375	36189.265625	235.0
ilp31	7.0	6451.40478515625	29.14285659790039	45159.83203125	204.0
ilp32	6.0	5878.29150390625	8.5	35269.75	51.0
ilp33	8.0	12228.083984375	24.0	97824.671875	192.0
ilp34	4.0	7764.775390625	19.75	31059.1015625	79.0
ilp35	8.0	9367.6279296875	19.375	74941.0234375	155.0
ilp39	3.0	6907.91162109375	13.333333015441895	20723.734375	40.0
ilp40	1.0	1873.049072265625	7.0	1873.049072265625	7.0
ilp41	3.0	15610.6669921875	3921.0	46832.0	11763.0
ilp42	2.0	18124.5859375	183.0	36249.171875	366.0
ilp43	3.0	8701.5087890625	31.66666603088379	26104.52734375	95.0
ilp44	1.0	4933.73046875	11.0	4933.73046875	11.0
ilp46	12.0	10422.8505859375	65.83333587646484	125074.203125	790.0
ilp47	3.0	7730.109375	8.0	23190.328125	24.0
ilp48	6.0	13910.5546875	42.66666793823242	83463.328125	256.0
