Feature	weight	gain	cover	total_gain	total_cover
ilp1	24.0	475.4006652832031	3.2083332538604736	11409.6162109375	77.0
ilp4	3.0	980.886962890625	2431.666748046875	2942.660888671875	7295.0
ilp5	1.0	628.951904296875	5.0	628.951904296875	5.0
ilp14	26.0	732.6607666015625	11.538461685180664	19049.1796875	300.0
ilp15	15.0	1279.9293212890625	10.866666793823242	19198.939453125	163.0
ilp16	1.0	2404.19482421875	3666.0	2404.19482421875	3666.0
ilp20	29.0	1319.835693359375	6.275862216949463	38275.234375	182.0
ilp21	4.0	1452.198974609375	11.75	5808.7958984375	47.0
ilp22	9.0	449.27777099609375	5.111111164093018	4043.5	46.0
ilp23	23.0	1157.1097412109375	11.608695983886719	26613.525390625	267.0
ilp24	34.0	518.8654174804688	32.264705657958984	17641.423828125	1097.0
ilp25	4.0	3042.681884765625	83.75	12170.7275390625	335.0
ilp26	8.0	485.4570617675781	7.375	3883.656494140625	59.0
ilp27	4.0	1617.595458984375	1829.75	6470.3818359375	7319.0
ilp28	8.0	1475.62841796875	8.375	11805.02734375	67.0
ilp29	1.0	1612.7484130859375	61.0	1612.7484130859375	61.0
ilp30	9.0	2118.810302734375	1335.4444580078125	19069.29296875	12019.0
ilp31	3.0	359.2646179199219	4.0	1077.7938232421875	12.0
ilp32	3.0	836.6349487304688	8.666666984558105	2509.90478515625	26.0
ilp33	7.0	1724.3272705078125	12.0	12070.291015625	84.0
ilp34	3.0	495.5563049316406	7.666666507720947	1486.6689453125	23.0
ilp35	7.0	1469.5308837890625	20.714284896850586	10286.7158203125	145.0
ilp36	2.0	2489.02734375	68.0	4978.0546875	136.0
ilp40	12.0	1807.2008056640625	2785.666748046875	21686.41015625	33428.0
ilp41	10.0	1623.7249755859375	4.300000190734863	16237.25	43.0
ilp43	1.0	314.54132080078125	4.0	314.54132080078125	4.0
ilp44	1.0	448.08197021484375	10.0	448.08197021484375	10.0
ilp46	8.0	510.5885009765625	472.25	4084.7080078125	3778.0
ilp47	2.0	641.84814453125	8.0	1283.6962890625	16.0
ilp48	3.0	101.98389434814453	5.333333492279053	305.9516906738281	16.0
ilp49	2.0	4383.060546875	307.5	8766.12109375	615.0
ilp50	6.0	2089.258056640625	9.666666984558105	12535.548828125	58.0
ilp51	15.0	1944.097412109375	277.6666564941406	29161.4609375	4165.0
ilp52	10.0	2303.78564453125	10.100000381469727	23037.85546875	101.0
ilp54	2.0	734.35400390625	15.5	1468.7080078125	31.0
ilp55	1.0	2441.6953125	21.0	2441.6953125	21.0
ilp57	7.0	2007.2974853515625	459.1428527832031	14051.08203125	3214.0
ilp58	1.0	1425.1728515625	59.0	1425.1728515625	59.0
ilp59	5.0	2536.977294921875	60.79999923706055	12684.88671875	304.0
ilp60	1.0	2127.530029296875	59.0	2127.530029296875	59.0
ilp61	3.0	772.5794067382812	12.666666984558105	2317.73828125	38.0
ilp62	16.0	2706.08056640625	9.25	43297.2890625	148.0
ilp63	5.0	891.8470458984375	11.0	4459.2353515625	55.0
ilp71	14.0	3564.06103515625	12.142857551574707	49896.85546875	170.0
ilp73	4.0	2334.888671875	28.75	9339.5546875	115.0
ilp78	1.0	3326.138427734375	69.0	3326.138427734375	69.0
ilp81	1.0	1700.83544921875	3742.0	1700.83544921875	3742.0
ilp85	1.0	1532.252197265625	3672.0	1532.252197265625	3672.0
ilp86	2.0	258.26324462890625	8.0	516.5264892578125	16.0
ilp89	7.0	950.0316162109375	28.14285659790039	6650.22119140625	197.0
ilp90	2.0	1413.73681640625	1806.5	2827.4736328125	3613.0
ilp91	6.0	1289.4552001953125	41.0	7736.7314453125	246.0
ilp96	1.0	2819.9375	3448.0	2819.9375	3448.0
ilp99	1.0	1558.2431640625	3729.0	1558.2431640625	3729.0
ilp101	5.0	3178.861083984375	1011.2000122070312	15894.3056640625	5056.0
ilp105	1.0	3141.78125	187.0	3141.78125	187.0
ilp114	2.0	1982.13720703125	1733.0	3964.2744140625	3466.0
ilp116	1.0	2624.42919921875	989.0	2624.42919921875	989.0
ilp117	2.0	2403.213623046875	3626.0	4806.42724609375	7252.0
ilp118	1.0	3662.5	3671.0	3662.5	3671.0
