Feature	weight	gain	cover	total_gain	total_cover
ilp1	13.0	375.9405822753906	1274.3077392578125	4887.2275390625	16566.0
ilp2	17.0	763.4764404296875	2750.176513671875	12979.099609375	46753.0
ilp3	5.0	193.41098022460938	3.4000000953674316	967.054931640625	17.0
ilp4	3.0	194.34539794921875	3.0	583.0361938476562	9.0
ilp5	8.0	109.50237274169922	5.5	876.0189819335938	44.0
ilp9	4.0	442.2502746582031	3348.25	1769.0010986328125	13393.0
ilp14	21.0	237.0199432373047	6.714285850524902	4977.4189453125	141.0
ilp15	7.0	62.83599090576172	4.142857074737549	439.8519287109375	29.0
ilp17	3.0	878.0875854492188	3346.666748046875	2634.2626953125	10040.0
ilp19	1.0	576.5709228515625	3325.0	576.5709228515625	3325.0
ilp20	23.0	412.3516540527344	6.08695650100708	9484.087890625	140.0
ilp21	21.0	288.04241943359375	9.619047164916992	6048.89111328125	202.0
ilp22	8.0	182.49859619140625	10.375	1459.98876953125	83.0
ilp23	7.0	116.55074310302734	11.714285850524902	815.855224609375	82.0
ilp24	16.0	194.09014892578125	5.5	3105.4423828125	88.0
ilp26	16.0	374.4977111816406	4.5	5991.96337890625	72.0
ilp27	25.0	1381.522216796875	5.599999904632568	34538.0546875	140.0
ilp28	28.0	339.704345703125	9.75	9511.7216796875	273.0
ilp29	2.0	445.450439453125	56.0	890.90087890625	112.0
ilp30	8.0	326.8687438964844	6.25	2614.949951171875	50.0
ilp31	16.0	364.0078430175781	10.625	5824.12548828125	170.0
ilp32	4.0	456.3092956542969	99.75	1825.2371826171875	399.0
ilp33	7.0	281.3756408691406	7.714285850524902	1969.62939453125	54.0
ilp34	9.0	797.7322387695312	774.3333129882812	7179.59033203125	6969.0
ilp35	5.0	236.9508819580078	12.0	1184.75439453125	60.0
ilp36	1.0	684.2315673828125	39.0	684.2315673828125	39.0
ilp39	6.0	267.8625793457031	7.666666507720947	1607.1754150390625	46.0
ilp40	12.0	643.60302734375	2308.333251953125	7723.236328125	27700.0
ilp43	2.0	528.91357421875	9.5	1057.8271484375	19.0
ilp44	1.0	611.2445678710938	3356.0	611.2445678710938	3356.0
ilp46	14.0	468.6080627441406	27.071428298950195	6560.5126953125	379.0
ilp47	3.0	209.6027374267578	7.0	628.8082275390625	21.0
ilp48	6.0	226.10186767578125	8.166666984558105	1356.6112060546875	49.0
ilp49	3.0	455.8148498535156	15.0	1367.444580078125	45.0
ilp50	8.0	293.30279541015625	15.75	2346.42236328125	126.0
ilp51	13.0	360.07098388671875	9.769230842590332	4680.9228515625	127.0
ilp52	3.0	280.8786926269531	12.0	842.6360473632812	36.0
ilp53	1.0	152.477783203125	6.0	152.477783203125	6.0
ilp54	2.0	383.002197265625	12.5	766.00439453125	25.0
ilp55	2.0	396.66259765625	29.0	793.3251953125	58.0
ilp56	2.0	528.0679931640625	433.0	1056.135986328125	866.0
ilp57	2.0	558.1253662109375	1682.5	1116.250732421875	3365.0
ilp58	1.0	729.0926513671875	42.0	729.0926513671875	42.0
ilp59	3.0	774.3814086914062	20.66666603088379	2323.144287109375	62.0
ilp60	6.0	534.4153442382812	535.8333129882812	3206.491943359375	3215.0
ilp61	3.0	457.4090270996094	14.666666984558105	1372.22705078125	44.0
ilp62	4.0	203.81703186035156	5.5	815.2681274414062	22.0
ilp63	1.0	617.7093505859375	31.0	617.7093505859375	31.0
ilp66	1.0	761.669677734375	3301.0	761.669677734375	3301.0
ilp70	1.0	556.0302734375	19.0	556.0302734375	19.0
ilp72	1.0	1579.125	3322.0	1579.125	3322.0
ilp73	1.0	616.20556640625	11.0	616.20556640625	11.0
ilp75	1.0	98.85028076171875	14.0	98.85028076171875	14.0
ilp79	4.0	387.86724853515625	252.25	1551.468994140625	1009.0
ilp89	11.0	382.8149719238281	13.181818008422852	4210.96484375	145.0
ilp90	2.0	431.93585205078125	14.0	863.8717041015625	28.0
ilp91	1.0	962.5074462890625	633.0	962.5074462890625	633.0
ilp93	6.0	937.95068359375	2626.333251953125	5627.7041015625	15758.0
ilp94	1.0	671.18017578125	10.0	671.18017578125	10.0
ilp99	1.0	900.0076293945312	2160.0	900.0076293945312	2160.0
ilp101	2.0	650.5507202148438	43.0	1301.1014404296875	86.0
ilp102	2.0	1337.7388916015625	903.0	2675.477783203125	1806.0
ilp105	3.0	365.83154296875	8.666666984558105	1097.49462890625	26.0
ilp110	2.0	473.58306884765625	3320.0	947.1661376953125	6640.0
ilp114	2.0	1404.419921875	117.0	2808.83984375	234.0
ilp115	1.0	842.33203125	51.0	842.33203125	51.0
ilp117	3.0	779.5548706054688	29.0	2338.66455078125	87.0
ilp126	9.0	966.063720703125	2482.4443359375	8694.5732421875	22342.0
ilp127	3.0	805.9871215820312	92.0	2417.96142578125	276.0
ilp133	1.0	612.027099609375	12.0	612.027099609375	12.0
ilp137	4.0	635.0428466796875	3214.25	2540.17138671875	12857.0
ilp138	8.0	876.4133911132812	3002.25	7011.30712890625	24018.0
ilp159	2.0	724.3540649414062	497.0	1448.7081298828125	994.0
ilp160	12.0	833.261474609375	7.333333492279053	9999.1376953125	88.0
ilp161	14.0	436.0265808105469	24.785715103149414	6104.3720703125	347.0
ilp162	9.0	71.13822174072266	6.888888835906982	640.2440185546875	62.0
ilp163	10.0	492.31878662109375	19.299999237060547	4923.18798828125	193.0
ilp164	7.0	336.536376953125	10.0	2355.754638671875	70.0
ilp165	3.0	378.1251220703125	51.66666793823242	1134.3753662109375	155.0
ilp166	6.0	557.755126953125	11.833333015441895	3346.53076171875	71.0
ilp167	3.0	711.0055541992188	10.333333015441895	2133.0166015625	31.0
ilp168	8.0	643.26123046875	40.375	5146.08984375	323.0
ilp169	2.0	1004.2393188476562	72.0	2008.4786376953125	144.0
ilp170	9.0	292.3248596191406	720.6666870117188	2630.923828125	6486.0
ilp171	1.0	421.89068603515625	33.0	421.89068603515625	33.0
ilp172	8.0	516.557861328125	53.75	4132.462890625	430.0
ilp173	1.0	333.2357177734375	15.0	333.2357177734375	15.0
ilp175	13.0	724.0936889648438	56.0	9413.2177734375	728.0
ilp176	7.0	813.1594848632812	361.28570556640625	5692.1162109375	2529.0
ilp177	17.0	570.9620361328125	470.941162109375	9706.3544921875	8006.0
ilp180	6.0	717.59765625	120.16666412353516	4305.5859375	721.0
ilp181	7.0	579.8636474609375	61.0	4059.045654296875	427.0
ilp182	1.0	343.7548828125	23.0	343.7548828125	23.0
ilp183	5.0	411.38690185546875	16.200000762939453	2056.9345703125	81.0
ilp184	3.0	450.5386962890625	33.33333206176758	1351.6160888671875	100.0
ilp186	4.0	508.7021179199219	3321.75	2034.8084716796875	13287.0
ilp187	1.0	263.35797119140625	31.0	263.35797119140625	31.0
ilp188	4.0	564.1968383789062	32.75	2256.787353515625	131.0
ilp190	9.0	616.439697265625	49.55555725097656	5547.95751953125	446.0
ilp191	8.0	571.2894287109375	722.25	4570.3154296875	5778.0
ilp193	5.0	504.97930908203125	14.399999618530273	2524.896484375	72.0
ilp194	3.0	782.8446655273438	260.6666564941406	2348.533935546875	782.0
ilp195	3.0	352.6771545410156	16.0	1058.031494140625	48.0
ilp196	2.0	456.7169494628906	15.5	913.4338989257812	31.0
ilp197	2.0	89.58212280273438	4.5	179.16424560546875	9.0
ilp198	1.0	1024.7392578125	1595.0	1024.7392578125	1595.0
ilp199	6.0	1020.5723266601562	47.0	6123.43408203125	282.0
ilp200	4.0	760.6898193359375	83.0	3042.75927734375	332.0
ilp201	4.0	931.109130859375	2419.75	3724.4365234375	9679.0
ilp202	2.0	483.90008544921875	3358.0	967.8001708984375	6716.0
ilp203	10.0	645.6055297851562	3175.199951171875	6456.05517578125	31752.0
ilp204	3.0	587.8403930664062	1135.0	1763.521240234375	3405.0
ilp206	5.0	572.2250366210938	512.2000122070312	2861.125244140625	2561.0
ilp209	1.0	728.3433837890625	32.0	728.3433837890625	32.0
ilp218	11.0	393.5342102050781	13.090909004211426	4328.87646484375	144.0
ilp219	1.0	630.9171142578125	50.0	630.9171142578125	50.0
ilp224	4.0	544.6632690429688	112.25	2178.653076171875	449.0
ilp225	6.0	655.7225952148438	1325.6666259765625	3934.33544921875	7954.0
ilp227	5.0	618.7083129882812	120.5999984741211	3093.54150390625	603.0
ilp228	7.0	607.5637817382812	1924.857177734375	4252.9462890625	13474.0
ilp230	8.0	290.12933349609375	11.0	2321.03466796875	88.0
ilp231	11.0	1075.1922607421875	47.818180084228516	11827.115234375	526.0
ilp233	5.0	657.2608642578125	54.599998474121094	3286.304443359375	273.0
ilp240	2.0	559.1911010742188	43.5	1118.3822021484375	87.0
ilp241	2.0	308.3522644042969	24.5	616.7045288085938	49.0
ilp244	3.0	783.3038940429688	1112.0	2349.91162109375	3336.0
ilp246	1.0	832.749267578125	41.0	832.749267578125	41.0
