Feature	weight	gain	cover	total_gain	total_cover
ilp1	26.0	4987.5654296875	2.653846263885498	129676.6953125	69.0
ilp5	1.0	371.60546875	5.0	371.60546875	5.0
ilp14	29.0	23148.908203125	8.689655303955078	671318.3125	252.0
ilp15	11.0	15699.052734375	4.2727274894714355	172689.578125	47.0
ilp20	22.0	16833.236328125	8.545454978942871	370331.21875	188.0
ilp21	7.0	16314.6162109375	10.142857551574707	114202.3125	71.0
ilp22	8.0	12764.44140625	23.0	102115.53125	184.0
ilp23	7.0	9258.951171875	7.4285712242126465	64812.66015625	52.0
ilp24	8.0	7991.3701171875	6.625	63930.9609375	53.0
ilp25	16.0	31044.69921875	72.0	496715.1875	1152.0
ilp26	25.0	20432.046875	133.44000244140625	510801.1875	3336.0
ilp27	5.0	9815.107421875	40.79999923706055	49075.53515625	204.0
ilp28	5.0	7255.6357421875	8.0	36278.1796875	40.0
ilp29	5.0	15161.5986328125	21.799999237060547	75807.9921875	109.0
ilp30	8.0	24897.0546875	9.375	199176.4375	75.0
ilp31	3.0	44476.03125	26.0	133428.09375	78.0
ilp32	3.0	20853.5078125	26.66666603088379	62560.5234375	80.0
ilp33	10.0	13263.953125	10.300000190734863	132639.53125	103.0
ilp34	3.0	17200.357421875	17.33333396911621	51601.07421875	52.0
ilp35	10.0	45639.55859375	33.0	456395.59375	330.0
ilp36	3.0	16847.283203125	15.666666984558105	50541.8515625	47.0
ilp38	2.0	9281.1923828125	12.5	18562.384765625	25.0
ilp39	5.0	7065.5361328125	6.0	35327.6796875	30.0
ilp40	1.0	7248.6025390625	12.0	7248.6025390625	12.0
ilp42	4.0	13152.1640625	5.5	52608.65625	22.0
ilp46	20.0	47692.37109375	16.399999618530273	953847.4375	328.0
ilp47	8.0	23412.82421875	9.0	187302.59375	72.0
ilp48	9.0	73730.34375	449.8888854980469	663573.125	4049.0
ilp49	3.0	27639.8125	2498.666748046875	82919.4375	7496.0
ilp50	7.0	19918.720703125	576.5714111328125	139431.046875	4036.0
ilp51	8.0	22879.490234375	503.125	183035.921875	4025.0
ilp52	15.0	36375.87109375	3122.7333984375	545638.0625	46841.0
ilp53	5.0	26297.75	24.600000381469727	131488.75	123.0
ilp54	5.0	14277.3544921875	784.0	71386.7734375	3920.0
ilp55	4.0	55042.5703125	141.0	220170.28125	564.0
ilp56	1.0	102.73865509033203	3.0	102.73865509033203	3.0
ilp57	9.0	64205.953125	8.222222328186035	577853.5625	74.0
ilp58	1.0	1129.1246337890625	5.0	1129.1246337890625	5.0
ilp59	4.0	12401.4443359375	6.25	49605.77734375	25.0
ilp60	2.0	30184.1953125	24.5	60368.390625	49.0
ilp61	6.0	29509.4921875	64.83333587646484	177056.953125	389.0
ilp62	3.0	12805.015625	15.333333015441895	38415.046875	46.0
ilp63	14.0	36475.8046875	7.785714149475098	510661.28125	109.0
ilp67	1.0	15257.66796875	16.0	15257.66796875	16.0
ilp70	1.0	9103.921875	39.0	9103.921875	39.0
ilp71	1.0	31821.75	78.0	31821.75	78.0
ilp72	2.0	14330.2578125	17.0	28660.515625	34.0
ilp74	2.0	56940.125	3892.5	113880.25	7785.0
ilp78	1.0	10255.71875	13.0	10255.71875	13.0
